Week	Date	Opponent	Result	Game site	Attendance
1	1983-09-04	at San Diego Chargers	W 41–29	Jack Murphy Stadium	51,004
2	1983-09-11	Seattle Seahawks	L 17–10	Shea Stadium	50,066
3	1983-09-18	at New England Patriots	L 23–13	Sullivan Stadium	43,182
4	1983-09-25	Los Angeles Rams	W 27–24	Shea Stadium	52,070
5	1983-10-03	at Buffalo Bills	W 34–10	Rich Stadium	79,933
6	1983-10-09	at Cleveland Browns	L 10–7	Cleveland Municipal Stadium	78,235
7	1983-10-16	Miami Dolphins	L 32–14	Shea Stadium	58,615
8	1983-10-23	Atlanta Falcons	L 27–21	Shea Stadium	46,878
9	1983-10-30	at San Francisco 49ers	W 27–13	Candlestick Park	54,796
10	1983-11-06	Baltimore Colts	L 17–14	Shea Stadium	53,323
11	1983-11-13	Buffalo Bills	L 24–17	Shea Stadium	48,513
12	1983-11-21	at New Orleans Saints	W 31–28	Louisiana Superdome	68,606
13	1983-11-27	New England Patriots	W 26–3	Shea Stadium	48,620
14	1983-12-04	at Baltimore Colts	W 10–6	Memorial Stadium	35,462
15	1983-12-10	Pittsburgh Steelers	L 34–7	Shea Stadium	53,996
16	1983-12-16	at Miami Dolphins	L 34–14	Miami Orange Bowl	59,975
