School	Mascot	Location	League	Enrollment
Carson	Senators	Carson City, Nevada	Sierra	2503
Damonte Ranch	Mustangs	Reno, Nevada	Sierra	1253
Douglas	Tigers	Minden, Nevada	Sierra	1522
Galena	Grizzlies	Reno, Nevada	Sierra	1510
Hug	Hawks	Reno, Nevada	High Desert	1266
Manogue	Miners	Reno, Nevada	Sierra	650
McQueen	Lancers	Reno, Nevada	High Desert	1945
North Valleys	Panthers	Reno, Nevada	High Desert	2227
Reed	Raiders	Sparks, Nevada	High Desert	2464
Reno	Huskies	Reno, Nevada	High Desert	1896
Spanish Springs	Cougars	Sparks, Nevada	High Desert	2186
