Match No.	Home Team	Score	Away Team	Attendance
1	Norbritz Hokkaido	1-2	Nippon Steel Oita F.C.	641
2	Matsumoto Yamaga F.C.	2-2 ( a.e.t. )	Doshisha University	1,662
Matsumoto Yamaga F.C. won 4-3 on penalties.	Matsumoto Yamaga F.C. won 4-3 on penalties.	Matsumoto Yamaga F.C. won 4-3 on penalties.	Matsumoto Yamaga F.C. won 4-3 on penalties.	Matsumoto Yamaga F.C. won 4-3 on penalties.
3	Iwate University	0-3	Kochi University	310
4	S.C. Tottori	2-1	Sony Sendai F.C.	511
5	Teihens F.C.	0-5	National Institute of Fitness and Sports in Kanoya	471
6	Biwako Seikei Sport College	4-1	Fukui University of Technology	478
7	Nirasaki Astros F.C.	3-2	Yamagata University	236
8	Tokuyama University	1-4	Ritsumeikan University	168
9	F.C. Premeiro	0-1	Mitsubishi Motors Mizushima F.C.	657
10	F.C. Central Chugoku	3-0	Ehime F.C. Youth	553
11	Mie Chukyo University	2-3	Kansai University	753
12	Tokushima Vortis B	0-2	F.C. Ryūkyū	235
13	F.C. Gifu	5-1	Hiroshima University of Economics	1,229
14	Miyazaki Sangyo-keiei University	3-2 (a.e.t.)	JEF United Ichihara Chiba B	488
15	V-Varen Nagasaki	1-2	Banditonce Kobe	758
16	Tochigi S.C.	3-0	Saga University	866
17	Kamatamare Sanuki	0-5	Rosso Kumamoto	519
18	Takada F.C.	0-2	Arte Takasaki	740
19	Hatsushiba Hashimoto High School	0-5	Hachinohe University	287
20	TDK S.C.	2-0	JAPAN Soccer College	1214
