State	Swimsuit	Evening gown	Interview	Average
Alabama	8.14	8.91	8.90	8.65
Alaska	8.56	8.89	8.94	8.80
Arizona	8.26	8.56	8.59	8.47
Arkansas	8.56	8.96	8.80	8.77
California	9.05	9.12	9.10	9.09
Colorado	8.61	8.79	8.83	8.74
Connecticut	8.45	8.68	8.72	8.62
Delaware	8.28	8.80	8.95	8.68
District of Columbia	8.27	8.78	8.52	8.52
Florida	9.06	9.18	8.66	8.97
Georgia	8.86	9.06	8.93	8.95
Hawaii	8.51	8.57	8.65	8.58
Idaho	8.36	8.66	8.58	8.53
Illinois	8.72	8.90	8.95	8.86
Indiana	8.80	8.87	9.22	8.96
Iowa	8.41	8.44	8.61	8.49
Kansas	9.23	9.14	9.23	9.20
Kentucky	8.83	8.79	8.93	8.85
Louisiana	8.96	9.17	8.92	9.02
Maine	8.48	8.49	9.02	8.66
Maryland	8.24	8.56	8.86	8.55
Massachusetts	8.42	8.71	8.89	8.67
Michigan	8.62	8.82	8.68	8.71
Minnesota	8.95	8.89	8.89	8.91
Mississippi	9.25	9.19	8.69	9.04
Missouri	8.90	9.34	9.03	9.09
Montana	8.54	8.48	8.57	8.53
Nebraska	8.90	8.82	8.43	8.72
Nevada	8.62	8.54	8.26	8.47
New Hampshire	8.38	8.66	8.38	8.47
New Jersey	9.24	9.24	8.87	9.12
New Mexico	9.00	8.75	8.75	8.83
New York	8.27	8.78	8.45	8.50
North Carolina	8.96	9.03	8.51	8.83
North Dakota	8.81	8.81	8.66	8.76
Ohio	8.89	8.81	8.90	8.87
Oklahoma	8.90	8.98	8.29	8.72
Oregon	8.94	8.58	8.55	8.69
Pennsylvania	9.07	9.09	8.67	8.94
Rhode Island	9.02	8.91	8.38	8.77
South Carolina	9.14	9.11	8.92	9.06
South Dakota	8.27	8.46	8.40	8.31
Tennessee	9.40	9.19	9.05	9.21
Texas	8.49	8.62	8.53	8.55
Utah	8.50	8.84	8.47	8.60
Vermont	8.58	8.74	8.78	8.70
Virginia	8.69	8.73	8.76	8.73
Washington	8.66	8.86	8.56	8.69
West Virginia	8.86	8.82	8.56	8.75
Wisconsin	8.75	8.97	8.58	8.77
Wyoming	8.35	8.53	8.60	8.49
