Driver	Constructor	Laps	Time/Retired	Grid
Rubens Barrichello	Ferrari	53	1:25:11.743	1
Kimi Räikkönen	McLaren - Mercedes	53	+11.085	8
David Coulthard	McLaren - Mercedes	53	+11.614	7
Jenson Button	BAR - Honda	53	+33.106	9
Jarno Trulli	Renault	53	+34.269	20
Takuma Sato	BAR - Honda	53	+51.692	13
Cristiano da Matta	Toyota	53	+56.794	3
Michael Schumacher	Ferrari	53	+59.487	14
Nick Heidfeld	Sauber - Petronas	53	+1:00.159	11
Olivier Panis	Toyota	53	+1:01.844	4
Mark Webber	Jaguar - Cosworth	53	+1:11.005	6
Ralf Schumacher	Williams - BMW	52	+1 Lap	19
Justin Wilson	Jaguar - Cosworth	52	+1 Lap	10
Ralph Firman	Jordan - Ford	51	+2 Laps	15
Jos Verstappen	Minardi - Cosworth	51	+2 Laps	17
Nicolas Kiesa	Minardi - Cosworth	50	+3 Laps	18
Giancarlo Fisichella	Jordan - Ford	33	Out of fuel	16
Fernando Alonso	Renault	17	Engine	5
Heinz-Harald Frentzen	Sauber - Petronas	9	Engine	12
Juan Pablo Montoya	Williams - BMW	9	Hydraulics	2
