Date	Champion	2nd Place	Score	Stadium
1996.1.14	Dong-A Univ.	Seven Six	12 - 7	Busan Sagick Stadium
1997.1.26	Bluegons	Keimyung Univ	28 - 18	Busan Sagick Stadium
1998.1.18	Kyungpook N. Univ.	Seven Six	47 - 6	Seoul Hyochang Stadium
1999.1.17	Dong-A Univ.	Blue Friends	35 - 22	Seoul Hyochang Stadium
2000.1.16	Dong-A Univ.	Red Stars	19 - 14	Seoul Hyochang Stadium
2001.1.21	Red Stars	Kyungsung Univ	13 - 0	Seoul Hyochang Stadium
2002.1.27	Seven Six	Kyungsung Univ	27 - 14	Daegu Dooryu Stadium
2003.1.19	Gumoh N. Univ	Scholars	7 - 6	Busan National Univ. Stadium
2004.1.1	Caps	Dong-A Univ.	23 - 17	Busan National Univ. Stadium
2005.1.30	Halraes	Gumoh N. Univ	27 - 12	Seoul Hyochang Stadium
2006.1.8	Dong-A Univ.	Vikings	7 - 6	Keimyung Univ.
2007.1.14	Gryphons	Dong-Eui Univ	37 - 0	Busan National Univ. Stadium
2008.1.6	Gryphons	Dong-Eui Univ	21 - 12	Namyangju Stadium
2009.1.	Vikings	Dong-Eui Univ	20 - 14	Namyangju Stadium
2010.1.	Busan Univ	Caps	34 - 13	Namyangju Stadium
2011.1.9	Phoenix	Busan Univ	40 - 24	Kyungpook N. Univ.
