Round	Pick	Overall	Name	Position	College
1	3	3	Charley Taylor	WR	Arizona State
2	4	18	Paul Krause	S	Iowa
5	3	59	Jim Snowden	OT	Notre Dame
6	4	74	Russ Brown	E	Florida
7	3	87	Dick Shiner	QB	Maryland
9	3	115	Len Hauss	C	Georgia
10	4	130	Rick Leeson	RB	Pittsburgh
11	3	143	Gene Donaldson	RB	Purdue
12	4	158	Bob Avolerin	OT	Tennessee
13	3	171	Tom McDonald	RB	Notre Dame
14	4	186	Tom Urbanik	RB	Penn State
15	3	199	Dick Evers	OT	Colorado State
16	4	214	Tom Walters	S	Mississippi
17	3	227	Ozzie Clay	WR	Iowa State
18	4	242	Bob Jones	G	Nebraska
19	3	255	John Seedborg	P	Arizona State
20	4	270	Gordon Guest	RB	Arkansas
