Driver	Constructor	Laps	Time/Retired	Grid
Michael Schumacher	Ferrari	53	1:14:19.838	1
Juan Pablo Montoya	Williams - BMW	53	+5.294	2
Rubens Barrichello	Ferrari	53	+11.835	3
Kimi Räikkönen	McLaren - Mercedes	53	+12.834	4
Marc Gené	Williams - BMW	53	+27.891	5
Jacques Villeneuve	BAR - Honda	52	+1 Lap	10
Mark Webber	Jaguar - Cosworth	52	+1 Lap	11
Fernando Alonso	Renault	52	+1 Lap	20
Nick Heidfeld	Sauber - Petronas	52	+1 Lap	16
Giancarlo Fisichella	Jordan - Ford	52	+1 Lap	13
Zsolt Baumgartner	Jordan - Ford	51	+2 Laps	18
Nicolas Kiesa	Minardi - Cosworth	51	+2 Laps	19
Heinz-Harald Frentzen	Sauber - Petronas	50	Transmission	14
David Coulthard	McLaren - Mercedes	45	Fuel pressure	8
Olivier Panis	Toyota	35	Brakes	9
Jos Verstappen	Minardi - Cosworth	27	Oil leak	17
Jenson Button	BAR - Honda	24	Gearbox	7
Cristiano da Matta	Toyota	3	Tyre	12
Justin Wilson	Jaguar - Cosworth	2	Gearbox	15
Jarno Trulli	Renault	0	Hydraulics	6
