Name	Pos.	Height	Weight	Date of Birth	Club
Alexandr Shvedov	GK	m (ft 6in)	kg (lb)	1973-04-11	DSHNK Almaty
Sergey Drozdov	D	m (ft 0in)	kg (lb)	1969-10-23	VK Sintez Kazan
Alexandr Gaidukov	D	m (ft 0in)	kg (lb)	1974-01-10	Lukoil Spartak Volgograd
Sergey Gorovoy	CF	m (ft 2in)	kg (lb)	1975-08-06	VK Sintez Kazan
Alexandr Shidlovskiy	D	m (ft 2in)	kg (lb)	1974-07-14	CSK VMF Moscow
Ivan Zaytsev	D	m (ft 1in)	kg (lb)	1975-03-11	Dinamo Moscow
Alexandr Elke	CB	m (ft 3in)	kg (lb)	1971-01-18	Real Canoe NC
Artemiy Sevostyanov	CB	m (ft 2in)	kg (lb)	1973-02-02	VK Sintez Kazan
Yevgeniy Zhilyayev	CB	m (ft 2in)	kg (lb)	1973-07-13	Dinamo Moscow
Igor Zagoruiko	D	m (ft 2in)	kg (lb)	1971-05-31	VK Sintez Kazan
Yuriy Smolovyy	CF	m (ft 5in)	kg (lb)	1970-04-09	Lukoil Spartak Volgograd
Alexandr Polukhin	GK	m (ft 2in)	kg (lb)	1961-10-15	DSHNK Almaty
Head Coach: Askar Orazalinov	Head Coach: Askar Orazalinov	Head Coach: Askar Orazalinov	Head Coach: Askar Orazalinov	Head Coach: Askar Orazalinov	Head Coach: Askar Orazalinov
