Game	Date	Team	Score	High points	High rebounds	High assists	Location Attendance	Record
60	March 3	Phoenix	W 111–99 (OT)	Rashard Lewis (29)	Rashard Lewis (12)	Hedo Türkoğlu , Rafer Alston (6)	Amway Arena 17,461	44–16
61	March 6	New Jersey	W 105–102 (OT)	Dwight Howard (26)	Dwight Howard (15)	Rafer Alston (6)	Amway Arena 17,461	45–16
62	March 8	@ Boston	W 86–79 (OT)	Dwight Howard (18)	Dwight Howard (15)	Rafer Alston (8)	TD Banknorth Garden 18,624	46–16
63	March 9	@ Detroit	L 94–98 (OT)	Dwight Howard (27)	Dwight Howard (14)	Rafer Alston (5)	The Palace of Auburn Hills 20,039	46–17
64	March 11	Chicago	W 107–79 (OT)	Tony Battie (18)	Marcin Gortat (15)	Rafer Alston , Anthony Johnson (6)	Amway Arena 17,461	47–17
65	March 13	@ Washington	W 112–103 (OT)	Mickaël Piétrus (21)	Dwight Howard (13)	Dwight Howard (7)	Verizon Center 18,152	48–17
66	March 15	Utah	W 105–87 (OT)	Dwight Howard (28)	Dwight Howard (20)	Hedo Türkoğlu (8)	Amway Arena 17,461	49–17
67	March 17	@ Cleveland	L 93–97 (OT)	Rafer Alston (23)	Dwight Howard (15)	Hedo Türkoğlu (7)	Quicken Loans Arena 20,562	49–18
68	March 18	@ Milwaukee	W 106–80 (OT)	Dwight Howard (28)	Dwight Howard (12)	Dwight Howard , Hedo Türkoğlu (7)	Bradley Center 13,819	50–18
69	March 21	New York	W 110–103 (OT)	Rashard Lewis (27)	Marcin Gortat (8)	Hedo Türkoğlu (9)	Amway Arena 17,461	51–18
70	March 23	@ New York	W 106–102 (OT)	Dwight Howard (29)	Dwight Howard (14)	Hedo Türkoğlu (3)	Madison Square Garden 19,763	52–18
71	March 25	Boston	W 84–82 (OT)	Dwight Howard (24)	Dwight Howard (21)	Rafer Alston (6)	Amway Arena 17,461	53–18
72	March 27	Milwaukee	W 110–94 (OT)	Rashard Lewis (19)	Marcin Gortat (11)	Dwight Howard , Rafer Alston (5)	Amway Arena 17,461	54–18
73	March 30	@ Miami	W 101–95 (OT)	Dwight Howard (22)	Dwight Howard (18)	Hedo Türkoğlu , Rafer Alston (5)	American Airlines Arena 19,600	55–18
