Name	Area	Inhabitants	People per km²	Main places	Regions
Streymoy	373.5	21,717	57.4	Tórshavn and Vestmanna	Tórshavn and rest of Streymoy
Eysturoy	286.3	10,738	37	Fuglafjørður and Runavík	North Eysturoy and South Eysturoy
Vágar	177.6	2,856	15.7	Míðvágur and Sørvágur	Vágar
Suðuroy	166	5,074	30.9	Tvøroyri and Vágur	Suðuroy
Sandoy	112.1	1,428	12.4	Sandur	Sandoy
Borðoy	95	5,030	52.4	Klaksvík	Klaksvík and rest of northern Faroes ( Norðoyar )
Viðoy	41	605	15	Viðareiði	Norðoyar
Kunoy	35.5	135	3.8	Kunoy	Norðoyar
Kalsoy	30.9	136	4.8	Mikladalur and Húsar	Norðoyar
Svínoy	27.4	58	2.7	Svínoy	Norðoyar
Fugloy	11.2	46	4	Kirkja	Norðoyar
Nólsoy	10.3	262	26.1	Nólsoy	Streymoy
Mykines	10.3	19	2	Mykines	Vágar
Skúvoy	10	61	5.7	Skúvoy	Sandoy
Hestur	6.1	40	7.1	Hestur	Streymoy
Stóra Dímun	2.7	7	1.9	Dímun	Sandoy
Koltur	2.5	2	0.8	Koltur	Streymoy
Lítla Dímun	0.8	0	0	–	Sandoy
