INEGI code	Municipality	Municipal Seat	Area (km 2 )	Population (2005)	Population density (/km 2 )	Human Development Index (2000)
1	Amealco de Bonfil	Amealco	682.1	56457	82.8	0.6803
2	Pinal de Amoles	Pinal de Amoles	705.37	25325	35.9	0.6659
3	Arroyo Seco	Arroyo Seco	731.17	12493	17.1	0.7029
4	Cadereyta de Montes	Cadereyta	1,131	57204	50.6	0.7074
5	Colón	Colón	807.15	51625	64.0	0.7036
6	Corregidora	El Pueblito	245.8	104218	424.0	0.8535
7	Ezequiel Montes	Ezequiel Montes	298.28	34729	116.4	0.7534
8	Huimilpan	Huimilpan	388.4	32728	84.3	0.6824
9	Jalpan de Serra	Jalpan	1,185.1	22025	18.6	0.7178
10	Landa de Matamoros	Landa de Matamoros	840.1	18905	22.5	0.6606
11	El Marqués	La Cañada	787.4	79743	101.3	0.7295
12	Pedro Escobedo	Pedro Escobedo	290.9	17007	58.5	0.7598
13	Peñamiller	Peñamiller	694.9	56553	81.4	0.7023
14	Querétaro	Santiago de Querétaro	759.9	734139	966.1	0.8560
15	San Joaquín	San Joaquín	499	7634	15.3	0.6593
16	San Juan del Río	San Juan del Río	799.9	208462	260.6	0.8035
17	Tequisquiapan	Tequisquiapan	343.6	54929	159.9	0.7827
