Pick #	Player	Position	Nationality	NHL team	College/junior/club team
230	Mark Ziliotto	Centre	Canada	Pittsburgh Penguins	Streetsville Derbys (CJBHL)
231	Chris Kiene	Defence	United States	New Jersey Devils	Springfield Olympics (NEJHL)
232	Brian Martin	Left Wing	Canada	Los Angeles Kings	Belleville Bulls (OHL)
233	Peter Slanina	Defence	Czechoslovakia	Toronto Maple Leafs	VSZ Košice (Czechoslovakia)
234	Peter Abric	Goaltender	Canada	Hartford Whalers	North Bay Centennials (OHL)
235	Dan Williams	Defence	United States	Chicago Black Hawks	Oak Park High School (USHS-IL)
236	Tom Nickolau	Centre	Canada	Detroit Red Wings	Guelph Platers (OHL)
237	Mark Lanigan	Defence	United States	St. Louis Blues	Waterloo Blackhawks (USHL)
238	Jim Edwards	Goaltender	Canada	Winnipeg Jets	Cornell University (ECAC)
239	Ed Kister	Defence	Canada	Vancouver Canucks	London Knights (OHL)
240	Troy Crosby	Goaltender	Canada	Montreal Canadiens	Verdun Juniors (QMJHL)
241	Rudolf Suchanek	Defence	Czechoslovakia	Calgary Flames	Motor-České Budějovice (Czechoslovakia)
242	Mike Nightengale	Defence	United States	Minnesota North Stars	Simley High School (USHS-MN)
243	Scott Brower	Goaltender	Canada	New York Rangers	Lloydminster Bobcats (AJHL)
244	Peter Loob	Defence	Sweden	Quebec Nordiques	Södertälje SK (Sweden)
245	Juraj Bakos	Defence	Czechoslovakia	Philadelphia Flyers	VSZ Košice (Czechoslovakia)
246	Per Schedrin	Defence	Sweden	Washington Capitals	Brynäs IF (Sweden)
247	Sean Baker	Left Wing	United States	Buffalo Sabres	Seattle Breakers (WHL)
248	Jim Newhouse	Left Wing	United States	Boston Bruins	Matignon High School (USHS-MA)
249	Allister Brown	Defence	Canada	New York Islanders	University of New Hampshire (ECAC)
250	Darren Gani	Defence	Canada	Edmonton Oilers	Belleville Bulls (OHL)
