Round	Overall	Player	Nationality	Club team
1	1	Alexandre Daigle	Canada	Victoriaville Tigres (QMJHL)
2	27	Radim Bicanek	Czech Republic	Dukla Jihlava (Czech.)
3	53	Patrick Charbonneau	Canada	Victoriaville Tigres (QMJHL)
4	91	Cosmo Dupaul	Canada	Victoriaville Tigres (QMJHL)
6	131	Rick Bodkin	Canada	Sudbury Wolves (OHL)
7	157	Sergei Polischuk	Russia	Krylja Sovetov (Russia)
8	183	Jason Disher	Canada	Kingston Frontenacs (OHL)
9	209	Toby Kvalevog	United States	University of North Dakota (NCAA)
9	227	Pavol Demitra	Slovakia	HC Dukla Trenčín (Czech.)
10	235	Rick Schuhwerk	United States	Hingham High School (US HS)
