Player	Pos.	From	School/Country	Rebs	Asts
Žarko Čabarkapa Category:Articles with hCards	PF	2003	Serbia & Montenegro	102	40
Corky Calhoun Category:Articles with hCards	SF	1972	Pennsylvania	778	215
Chris Carr Category:Articles with hCards	SG	1995	Southern Illinois	102	43
Joe Barry Carroll Category:Articles with hCards	C	1991	Purdue	24	11
Vince Carter Category:Articles with hCards	SG	2010	North Carolina	185	82
Sam Cassell Category:Articles with hCards	PG	1996	Florida State	50	99
Cedric Ceballos Category:Articles with hCards	SF	1990 1997	Cal State Fullerton	1,480	337
Bill Chamberlain Category:Articles with hCards	SF	1973	North Carolina	80	37
Jerry Chambers Category:Articles with hCards	SF	1969	Utah	219	54
Tom Chambers Category:Articles with hCards	F/C	1988	Utah	2,491	858
Rex Chapman Category:Articles with hCards	SG	1996	Kentucky	538	556
Josh Childress Category:Articles with hCards	F/G	2010	Stanford	250	76
Bob Christian Category:Articles with hCards	C	1973	Grambling State	339	98
Dionte Christmas Category:Articles with hCards	G	2013	Temple	4	0
Earl Clark Category:Articles with hCards	F	2009	Louisville	79	25
John Coker Category:Articles with hCards	C	1995	Boise State	2	1
Jarron Collins Category:Articles with hCards	C	2009	Stanford	62	6
Jeff Cook Category:Articles with hCards	C	1979 1987	Idaho State	1,244	457
Duane Cooper Category:Articles with hCards	PG	1993	USC	9	28
Tyrone Corbin Category:Articles with hCards	F/G	1988	DePaul	528	177
Mel Counts Category:Articles with hCards	C	1970	Oregon State	760	232
Joe Courtney Category:Articles with hCards	PF	1993	Mississippi State	27	9
Joe Crispin Category:Articles with hCards	PG	2002	Penn State	10	24
Winston Crite Category:Articles with hCards	F	1987	Texas A&M	65	15
