Week	Date	Opponent	Result	Game site	Record	Attendance
1	September 3, 1995	Kansas City Chiefs	L 10-34	Kingdome	0-1	47,564
2	September 10, 1995	at San Diego Chargers	L 10-14	Jack Murphy Stadium	0-2	54,420
3	September 17, 1995	Cincinnati Bengals	W 24-21	Kingdome	1-2	39,492
4	Bye	Bye	Bye	Bye	Bye	Bye
5	October 1, 1995	Denver Broncos	W 27-10	Kingdome	2-2	49,914
6	October 8, 1995	at Oakland Raiders	L 14-34	Oakland-Alameda County Coliseum	2-3	50,213
7	October 15, 1995	at Buffalo Bills	L 21-27	Rich Stadium	2-4	74,362
8	October 22, 1995	San Diego Chargers	L 25-35	Kingdome	2-5	45,821
9	October 29, 1995	at Arizona Cardinals	L 14-20 OT	Sun Devil Stadium	2-6	39,600
10	November 5, 1995	New York Giants	W 30-28	Kingdome	3-6	42,100
11	November 12, 1995	at Jacksonville Jaguars	W 47-30	Jacksonville Municipal Stadium	4-6	71,290
12	November 19, 1995	at Washington Redskins	W 27-20	Robert F. Kennedy Memorial Stadium	5-6	51,298
13	November 26, 1995	New York Jets	L 10-16	Kingdome	5-7	41,160
14	December 3, 1995	Philadelphia Eagles	W 26-14	Kingdome	6-7	39,893
15	December 10, 1995	at Denver Broncos	W 31-27	Mile High Stadium	7-7	71,488
16	December 17, 1995	Oakland Raiders	W 44-10	Kingdome	8-7	58,428
17	December 24, 1995	at Kansas City Chiefs	L 3-26	Arrowhead Stadium	8-8	75,784
