Week	Date	Opponent	Result	Attendance
1	September 16, 1962	at Cleveland Browns	L 17–7	81,115
2	September 23, 1962	at Philadelphia Eagles	W 29–13	60,671
3	September 30, 1962	at Pittsburgh Steelers	W 31–27	40,916
4	October 7, 1962	St. Louis Cardinals	W 31–14	20,327
5	October 14, 1962	Pittsburgh Steelers	L 20–17	62,808
6	October 21, 1962	Detroit Lions	W 17–14	62,856
7	October 28, 1962	Washington Redskins	W 49–34	62,844
8	November 4, 1962	St. Louis Cardinals	W 31–28	62,775
9	November 11, 1962	at Dallas Cowboys	W 41–10	45,668
10	November 18, 1962	Philadelphia Eagles	W 19–14	62,705
11	November 25, 1962	at Washington Redskins	W 42–24	49,219
12	December 2, 1962	at Chicago Bears	W 26–24	49,043
13	December 9, 1962	at Cleveland Browns	W 17–13	62,794
14	December 16, 1962	Dallas Cowboys	W 41–31	62,694
