Shooter	Event	Rank points	Score points	Total
Yin Wen ( CHN )	WCF 2007	Defending champion	Defending champion	Defending champion
Du Li ( CHN )	OG Beijing	Olympic gold medalist	Olympic gold medalist	Olympic gold medalist
Kateřina Emmons ( CZE )	OG Beijing	Olympic silver medalist	Olympic silver medalist	Olympic silver medalist
Eglis Yaima Cruz ( CUB )	OG Beijing	Olympic bronze medalist	Olympic bronze medalist	Olympic bronze medalist
Sonja Pfeilschifter ( GER )	WC Milan	15	8	23
Jamie Beyerle ( USA )	WC Milan	10	8	18
Kristina Vestveit ( NOR )	WC Milan	8	9	17
Snježana Pejčić ( CRO )	WC Munich	10	7	17
Morgan Hicks ( USA )	WC Rio de Janeiro	15	2	17
Adela Sykorova ( CZE )	WC Munich	8	5	13
Lioubov Galkina ( RUS )	WC Beijing	8	4	12
Olga Dovgun ( KAZ )	WC Milan	4	6	10
