Series Ep.	Episode	Netflix	Segment A	Segment B	Segment C	Segment D
6-01	66	S03E14	Three Wheeled Vehicles	Baseball Bats	Artificial Bonsai	s Trombone
6-02	67	S03E15	s Spring	s Paver	s Piano (Part 1)	s Piano (Part 2)
6-03	68	S03E16	s Rope	s Billiard Table	s Sailboard	s Cymbal
6-04	69	S03E17	s Seatbelt	s Window	Wax Figurines	Hot Air Balloons
6-05	70	S03E18	Air Filters	Billiard Cues	Ice Sculptures	s Suit
6-06	71	S03E19	Escalator s Handrail	s Highlighter	Guitar s String	Wigs
6-07	72	S03E20	Traditional Bows	s Coffee Machine	s Mascot	s Hammock
6-08	73	S03E21	Fibreglass Insulation	s Wooden Duck	Gumball Machines	Exhaust Systems
6-09	74	S03E22	s Chain	s Bagel	Vinyl Records (Part 1)	Vinyl Records (Part 2)
6-10	75	S03E23	s Windshield	English Saddles	Butter	Post Clocks
6-11	76	S03E24	Individual Transporters	Cedar Canoes	Electric Guitars (Part 1)	Electric Guitars (Part 2)
6-12	77	S03E25	Residential Water Heaters	Air Bags	Jelly Beans	Ice Resurfacers
6-13	78	S03E26	Amphibious Vehicles	s Putter	Model Ships	s Drumhead
