Season	Driver	Team	Engine	Poles	Wins	Podiums	Points	Margin of defeat
1950	Juan Manuel Fangio	Alfa Romeo	Alfa Romeo	4	3	3	27	3
1951	Alberto Ascari	Ferrari	Ferrari	2	2	3	25	6
1952	Giuseppe Farina	Ferrari	Ferrari	2	0	4	24	12
1953	Juan Manuel Fangio	Maserati	Maserati	1	1	4	28	6.5
1954	José Froilán González	Ferrari	Ferrari	1	1	4	25.14	16.86
1955	Stirling Moss	Mercedes	Mercedes	1	1	3	23	17
1956	Stirling Moss	Maserati	Maserati	1	2	3	27	3
1957	Stirling Moss	Maserati Vanwall	Maserati Vanwall	1	3	3	25	15
1958	Stirling Moss	Cooper Vanwall	Climax Vanwall	3	4	5	41	1
1959	Tony Brooks	Ferrari	Ferrari	2	2	4	27	4
1960	Bruce McLaren	Cooper	Climax	0	1	6	34	9
1961	Wolfgang von Trips †	Ferrari	Ferrari	1	2	4	33	1
1962	Jim Clark	Lotus	Climax	5	3	3	30	12
1963	Graham Hill	BRM	BRM	2	2	5	29	25
1964	Graham Hill	BRM	BRM	1	2	5	39	1
1965	Graham Hill	BRM	BRM	4	2	6	40	14
1966	John Surtees	Ferrari Cooper	Ferrari Maserati	2	2	4	28	14
1967	Jack Brabham	Brabham	Repco	2	2	6	46	5
1968	Jackie Stewart	Matra	Ford	0	3	4	36	12
1969	Jacky Ickx	Brabham	Ford	2	2	5	37	26
1970	Jacky Ickx	Ferrari	Ferrari	4	3	5	40	5
1971	Ronnie Peterson	March	Ford	0	0	5	33	29
1972	Jackie Stewart	Tyrrell	Ford	2	4	5	45	16
1973	Emerson Fittipaldi	Lotus	Ford	1	3	8	55	16
1974	Clay Regazzoni	Ferrari	Ferrari	1	1	7	52	3
1975	Emerson Fittipaldi	McLaren	Ford	0	2	6	45	19.5
1976	Niki Lauda	Ferrari	Ferrari	3	5	9	68	1
1977	Jody Scheckter	Wolf	Ford	1	3	9	55	17
1978	Ronnie Peterson †	Lotus	Ford	3	2	7	51	14
1979	Gilles Villeneuve	Ferrari	Ferrari	1	3	7	47	4
1980	Nelson Piquet	Brabham	Ford	2	3	6	54	13
1981	Carlos Reutemann	Williams	Ford	2	2	7	49	1
1982	Didier Pironi	Ferrari	Ferrari	2	2	6	39	5
1983	Alain Prost	Renault	Renault	3	4	7	57	2
1984	Alain Prost	McLaren	TAG	3	7	9	71.5	0.5
1985	Michele Alboreto	Ferrari	Ferrari	1	2	8	53	20
1986	Nigel Mansell	Williams	Honda	2	5	9	70	2
1987	Nigel Mansell	Williams	Honda	8	6	7	61	15
1988	Alain Prost	McLaren	Honda	2	7	14	87	3
1989	Ayrton Senna	McLaren	Honda	13	6	7	60	16
1990	Alain Prost	Ferrari	Ferrari	0	5	9	71	7
1991	Nigel Mansell	Williams	Renault	2	5	9	72	24
1992	Riccardo Patrese	Williams	Renault	1	1	9	56	52
1993	Ayrton Senna	McLaren	Ford	1	5	9	73	26
1994	Damon Hill	Williams	Renault	2	6	11	91	1
1995	Damon Hill	Williams	Renault	7	4	9	69	33
1996	Jacques Villeneuve	Williams	Renault	3	4	11	78	19
1997	Heinz-Harald Frentzen *	Williams	Renault	1	1	7	42	39
1998	Michael Schumacher	Ferrari	Ferrari	3	6	11	86	14
1999	Eddie Irvine	Ferrari	Ferrari	0	4	9	74	2
2000	Mika Häkkinen	McLaren	Mercedes	5	4	11	89	19
2001	David Coulthard	McLaren	Mercedes	2	2	10	65	58
2002	Rubens Barrichello	Ferrari	Ferrari	3	4	10	77	67
2003	Kimi Räikkönen	McLaren	Mercedes	2	1	10	91	2
2004	Rubens Barrichello	Ferrari	Ferrari	4	2	14	114	34
2005	Kimi Räikkönen	McLaren	Mercedes	6	7	12	112	21
2006	Michael Schumacher	Ferrari	Ferrari	4	7	12	121	13
2007	Lewis Hamilton	McLaren	Mercedes	6	4	12	109	1
2008	Felipe Massa	Ferrari	Ferrari	6	6	10	97	1
2009	Sebastian Vettel	Red Bull	Renault	4	4	8	84	11
2010	Fernando Alonso	Ferrari	Ferrari	2	5	10	252	4
2011	Jenson Button	McLaren	Mercedes	0	3	12	270	122
2012	Fernando Alonso	Ferrari	Ferrari	2	3	13	278	3
