Draw	Competing dancers	Dance styles	Rank	Points
01	Danny Saucedo & Jeanette Carlsson	Cha-Cha	12	38
02	Dorian Steidl & Nicole Kuntner	Slowfox/Jive/Hip-Hop	13	29
03	Patrick Spiegelberg & Katja Svensson	Samba/Tango/Paso Doble/Jazz Dance	6	102
04	Eldar Dzhafarov & Anna Sazhina	Paso Doble/Rumba/Tango/Azeri Folk Dance	5	106
05	Gavin Ó Fearraigh & Dearbhla Lennon	Paso Doble/Rumba/Hard Shoe Irish Dance	11	40
06	Maria Lund & Mikko Ahti	Tango	10	44
07	Thomas Berge & Roemjana De Haan	Rumba/Show Dance	14	1
08	Karina Krysko & Saulius Skambinas	Rumba/Cha-Cha/Acrobatic Elements	4	110
09	Louisa Lytton & Vincent Simone	Paso Doble/Jive/Tango	9	47
10	Tatiana Navka & Alexander Litvinenko	Cha-Cha/Samba/Rumba/Paso Doble/Russian Folk Dance	2	121
11	Jason Roditis & Tonia Kosovich	Latin dances	7	72
12	Raquel Tavares & João Tiago	Rumba/Tango	8	61
13	Edyta Herbuś & Marcin Mroczek	Rumba/Cha-Cha/Jazz Dance	1	154
14	Lilia Podkopayeva & Sergey Kostetskiy	Jive/Ukrainian Folk Dance/Rock'n'Roll	3	119
