Year	Winner	Runner-up	Venue	Location
2013	Bryson DeChambeau	Austin Cook Jeremy Sanders	Meadow Club	Fairfax, California
2012	Tyler Raber	Steven Ihm	Oak Tree National	Edmond, Oklahoma
2011	Kelly Kraft	Dylan Frittelli Tanner Kesterson	Kansas City Country Club	Mission Hills, Kansas
2010	Scott Pinckney	Kevin Tway	Denver Country Club	Denver, Colorado
2009	Chris Kessler	Mark Healer	Flint Hills National Golf Club	Andover, Kansas
2008	Mike McCoy	Bryon Shumate	Wakonda Country Club	Des Moines, Iowa
2007	Trent Brown	Jim Lehman	The Minikahda Club	Minneapolis, Minnesota
2006	Robert Funk	David Leachman	Brook Hollow Golf Club	Dallas, Texas
2005	David Bartman	Mark Lindberg	Prairie Dunes Country Club	Hutchinson, Kansas
2004	Scott McGihon	Sam Manning	La Jolla Country Club	La Jolla, California
2003	Bob Kearney	Eric Sexton	Flint Hills National Golf Club	Andover, Kansas
2002	John Goode	James Reid	Barton Creek Golf Club	Austin, Texas
2001	Chip Stewart	Marty Sallaz	Kansas City Country Club	Mission Hills, Kansas
2000	Mike McCoy	Jim Wahl	White Bear Yacht Club	White Bear Lake, Minnesota
1999	Mike Podolak	Dan Dunkelberg	Oklahoma City Golf & Country Club	Oklahoma City, Oklahoma
1998	Dan Dunkelberg	John Olive	Cherry Hills Country Club	Cherry Hills Village, Colorado
1997	Johnny Stevens	John Hoffman	Brook Hollow Golf Club	Dallas, Texas
1996	John Grace	Terry O'Loughlin	Prairie Dunes Country Club	Hutchinson, Kansas
1995	Ed Gibstein	Pat Duncan	The Farms Golf Club	Rancho Santa Fe, California
1994	Sandy Adelman	Mike Podolak	The Minikahda Club	Minneapolis, Minnesota
1993	David Ojala	Marty Sallaz	Kansas City Country Club	Mission Hills, Kansas
1992	Randy Sonnier	Ricky Lutz	Wichita Country Club	Wichita, Kansas
1991	Mike McClung	Jeff Kiley	Lakeside Golf Club	Toluca Lake, California
1990	Bobby Godwin	Bob Finger	Oklahoma City Golf & Country Club	Oklahoma City, Oklahoma
1989	Ron Richard	Greg Towne	La Jolla Country Club	La Jolla, California
1988	Tom Merry	Greg Starkman	Woodhill Country Club	Wayzata, Minnesota
1987	Ron Richard	Stephen McGraw	Prairie Dunes Country Club	Hutchinson, Kansas
1986	Brian Watts	Neil Hickerson	Crown Colony Country Club	Lufkin, Texas
1985	Bob Estes	Bill Spangler	Hardscrabble Country Club	Fort Smith, Arkansas
1984	John Pigg	Billy Ray Brown	Hills of Lakeway	Austin, Texas
1983	Greg Chapman	Brandel Chamblee	Kansas City Country Club	Mission Hills, Kansas
1982	John Sherman	Mark Fuller	Oklahoma City Golf & Country Club	Oklahoma City, Oklahoma
1981	Robert Wrenn	Bryan Norton	The Minikahda Club	Minneapolis, Minnesota
1980	Raymond Barr	Gregg Jones	Denver Country Club	Denver, Colorado
1979	Mark Brooks	Jimmy Johnson	Hardscrabble Country Club	Fort Smith, Arkansas
1978	Bob Tway	John Shackleford	Brook Hollow Golf Club	Dallas, Texas
1977	John Fought	Scott Simpson	Midland Country Club	Midland, Texas
1976	Doug Clarke	Ed Updegraff	Spyglass Hill	Pebble Beach, California
1975	Tim Wilson	Warren Aune	Kansas City Country Club	Mission Hills, Kansas
1974	Tom Jones	Michael Brennan	Cedar Ridge Country Club	Tulsa, Oklahoma
1973	Gary Koch	Guy Collins	Prairie Dunes Country Club	Hutchinson, Kansas
1972	Ben Crenshaw	John Paul Cain	Brook Hollow Golf Club	Dallas, Texas
1971	Allen Miller	Alan Tapie	Spyglass Hill	Pebble Beach, California
1970	Allen Miller	Joe Inman	Oklahoma City Golf & Country Club	Oklahoma City, Oklahoma
1969	Allen Miller	Dean Overturf	Cherry Hills Country Club	Cherry Hills Village, Colorado
1968	Bill Hyndman	Edward Hopkins	Southern Hills Country Club	Tulsa, Oklahoma
1967	Hal Greenwood	Larry Hinson	San Antonio Country Club	San Antonio, Texas
1966	Jim Wiechers	Bob Smith	Edina Country Club	Edina, Minnesota
1965	George Boutell	Jim Hardy	Kansas City Country Club	Mission Hills, Kansas
1964	Wright Garrett	Dave Eichelberger	Broadmoor Golf Club	Colorado Springs, Colorado
1963	George Archer	David Marad	Phoenix Country Club	Phoenix, Arizona
1962	Bob Ryan	Harry Toscano, Jr.	Old Warson Country Club	Saint Louis, Missouri
1961	Herb Durham	Matt Tabor	Twin Hills Golf & Country Club	Oklahoma City, Oklahoma
1960	Deane Beman	Jacky Cupit	Wichita Country Club	Wichita, Kansas
1959	Jack Nicklaus	Deane Beman	Woodhill Country Club	Wayzata, Minnesota
1958	Jack Nicklaus	Richie Norville	Prairie Dunes Country Club	Hutchinson, Kansas
1957	Rex Baxter	John Zibnack	Brook Hollow Golf Club	Dallas, Texas
1956	Charles Coe	Ronnie Wenzler	Oklahoma City Golf & Country Club	Oklahoma City, Oklahoma
1955	James Jackson	Rex Baxter	Wakonda Country Club	Des Moines, Iowa
1954	James Jackson	Rex Baxter	Cherry Hills Country Club	Cherry Hills Village, Colorado
1953	Joe Conrad	James Vickers	Kansas City Country Club	Mission Hills, Kansas
1952	Charles Coe	Buster Reed	Lakewood Country Club	Denver, Colorado
1951	L.M. Crannel, Jr.	Don Addington	Brook Hollow Golf Club	Dallas, Texas
1950	Jim English	Jack Vickers	Happy Hollow Golf Club	Omaha, Nebraska
1949	Charles Coe	Fred Newton	Broadmoor Golf Club	Colorado Springs, Colorado
1948	Skee Riegel	John Kraft	Mission Hills Country Club	Mission Hills, Kansas
1947	Charles Coe	Eugene Zuspann	Wichita Country Club	Wichita, Kansas
1946	Skee Riegel	Charles Lind	Denver Country Club	Denver, Colorado
1943-45: No tournament due to World War II	1943-45: No tournament due to World War II	1943-45: No tournament due to World War II	1943-45: No tournament due to World War II	1943-45: No tournament due to World War II
1942	John Kraft	T. Oliver	Blue Hills Country Club	Kansas City, Missouri
1941	Frank Stranahan	John Barnum	Sunset Golf Club	Saint Louis, Missouri
1940	Art Doering	O'Hara Watts	Southern Hills Country Club	Tulsa, Oklahoma
1939	Chick Harbert	Ed C. Kingsley	Broadmoor Golf Club	Colorado Springs, Colorado
