Name	Pole Position	Fastest Lap	Winning driver	Report
Kraco Car Stereo 150	Rick Mears	Unknown	Rick Mears	Report
Stoh's 200	Rick Mears	Unknown	Rick Mears	Report
Gould-Rex Mays 150	Gordon Johncock	Unknown	Gordon Johncock	Report
Budweiser Cleveland 500	Kevin Cogan	Unknown	Bobby Rahal	Report
Norton-Michigan 500	Rick Mears	Unknown	Gordon Johncock	Report
Tony Bettenhausen 200	Rick Mears	Unknown	Tom Sneva	Report
Domino's Pizza Pocono 500	Rick Mears	Unknown	Rick Mears	Report
AirCal 500	Kevin Cogan	Unknown	Rick Mears	Report
Road America 200	Rick Mears	Unknown	Hector Rebaque	Report
Detroit News Grand Prix	Rick Mears	Unknown	Bobby Rahal	Report
Miller High Life 150	Rick Mears	Unknown	Tom Sneva	Report
