Position	Number	Name	Height	Weight	Class	Hometown	Games↑
LE	99	Jeremy Jarmon	6'3"	277lb.	Jr.	Collierville, Tennessee	6
LT	98	Myron Pryor	6'1"	310lb.	Sr.	Louisville, Kentucky	6
RT	91	Corey Peters	6'3"	290lb.	Jr.	Louisville, Kentucky	6
RE	95	Ventrell Jenkins	6'2"	285lb.	Sr.	Columbia, South Carolina	6
OLB	56	Braxton Kelley	6'0"	230lb.	Sr.	LaGrange, Georgia	6
MLB	4	Micah Johnson	6'2"	250lb.	Jr.	Fort Campbell, Kentucky	4
SLB	51	Johnny Williams	6'3"	244lb.	Sr.	Jacksonville, Florida	6
RCB	32	Trevard Lindley	6'0"	175lb.	Jr.	Hiram, Georgia	6
LCB	7	David Jones	5'10"	180lb.	Sr.	Red Jacket, West Virginia	6
FS	10	Matt Lentz	6'3"	203lb.	Rs-Fr.	Simpsonville, South Carolina	2
