Date	Venue	Opponents	Score	Competition
December 4, 2005	KLFA Stadium, Cheras	Sabah	2-2	PL Group B
December 11, 2005	National Stadium, Bukit Jalil	Shahzan Muda-Kuantan Port	5-1	PL Group B
December 18, 2005	KLFA Stadium, Cheras	TNB Kelantan	1-0	PL Group B
December 21, 2005	Selayang Municipal Council Stadium	Police	1-3	PL Group B
January 1, 2006	J-Corp Stadium, Pasir Gudang	Johor FC	2-3	PL Group B
January 8, 2006	KLFA Stadium, Cheras	PKNS FC	1-4	PL Group B
January 15, 2006	Hang Jebat Stadium	Malacca	1-2	PL Group B
January 22, 2006	Likas Stadium, Kota Kinabalu	Sabah	0-0	PL Group B
February 5, 2006	KLFA Stadium, Cheras	Shahzan Muda-Kuantan Port	4-0	PL Group B
February 8, 2006	Perak Stadium, Ipoh	Perak	0-3	FA Cup Rd 1
February 12, 2006	Lada Stadium, Langkawi	TNB Kelantan	2-1	PL Group B
March 1, 2006	KLFA Stadium, Cheras	Perak	1-0 (Agg:1-3)	FA Cup Rd 1
March 4, 2006	KLFA Stadium, Cheras	Police	2-1	PL Group B
March 11, 2006	KLFA Stadium, Cheras	Johor FC	1-0	PL Group B
March 18, 2006	MPPJ Stadium, Petaling Jaya	PKNS FC	0-1	PL Group B
March 25, 2006	KLFA Stadium, Cheras	Malacca	2-4	PL Group B
April 1, 2006	Likas Stadium, Kota Kinabalu	Sabah	1-3	PL Group B
April 7, 2006	KLFA Stadium, Cheras	Shahzan Muda-Kuantan Port	1-0	PL Group B
April 15, 2006	Lada Stadium, Langkawi	TNB Kelantan	0-1	PL Group B
April 22, 2006	KLFA Stadium, Cheras	Police	0-3	PL Group B
May 6, 2006	KLFA Stadium, Cheras	Johor FC	0-1	PL Group B
May 10, 2006	MPPJ Stadium, Petaling Jaya	PKNS FC	0-0	PL Group B
May 17, 2006	KLFA Stadium, Cheras	Malacca	2-1	PL Group B
