Stage	Winner	General classification	Points classification	Young rider classification	Team classification
P	Thierry Marie	Thierry Marie	Thierry Marie	Jesus Blanco Villar	Système U
1	Pol Verschuere	Alex Stieda	Pol Verschuere	Alex Stieda	Système U
2	Système U-Gitane	Thierry Marie	Eric Vanderaerden	Eric Boyer	Système U
3	Davis Phinney	Thierry Marie	Eric Vanderaerden	Eric Boyer	Système U
4	Pello Ruiz Cabestany	Dominique Gaigne	Eric Vanderaerden	Eric Boyer	Système U
5	Johan van der Velde	Johan van der Velde	Eric Vanderaerden	Eric Boyer	Système U
6	Guido Bontempi	Johan van der Velde	Eric Vanderaerden	Eric Boyer	Système U
7	Ludo Peeters	Jørgen V. Pedersen	Eric Vanderaerden	Eric Boyer	Carrera-Inoxpran
8	Eddy Planckaert	Jørgen V. Pedersen	Eric Vanderaerden	Eric Boyer	Carrera-Inoxpran
9	Bernard Hinault	Jørgen V. Pedersen	Eric Vanderaerden	Bruno Cornillet	Carrera-Inoxpran
10	Angel Sarrapio	Jørgen V. Pedersen	Eric Vanderaerden	Bruno Cornillet	Carrera-Inoxpran
11	Rudy Dhaenens	Jørgen V. Pedersen	Eric Vanderaerden	Bruno Cornillet	Carrera-Inoxpran
12	Pedro Delgado	Bernard Hinault	Eric Vanderaerden	Jean-François Bernard	La Vie Claire
13	Greg LeMond	Bernard Hinault	Eric Vanderaerden	Andrew Hampsten	La Vie Claire
14	Niki Rüttimann	Bernard Hinault	Eric Vanderaerden	Andrew Hampsten	La Vie Claire
15	Frank Hoste	Bernard Hinault	Eric Vanderaerden	Andrew Hampsten	La Vie Claire
16	Jean-François Bernard	Bernard Hinault	Eric Vanderaerden	Andrew Hampsten	La Vie Claire
17	Eduardo Chozas	Greg LeMond	Eric Vanderaerden	Andrew Hampsten	La Vie Claire
18	Bernard Hinault	Greg LeMond	Eric Vanderaerden	Andrew Hampsten	La Vie Claire
19	Julián Gorospe	Greg LeMond	Eric Vanderaerden	Andrew Hampsten	La Vie Claire
20	Bernard Hinault	Greg LeMond	Eric Vanderaerden	Andrew Hampsten	La Vie Claire
21	Erich Maechler	Greg LeMond	Eric Vanderaerden	Andrew Hampsten	La Vie Claire
22	Guido Bontempi	Greg LeMond	Eric Vanderaerden	Andrew Hampsten	La Vie Claire
23	Guido Bontempi	Greg LeMond	Eric Vanderaerden	Andrew Hampsten	La Vie Claire
Final	Final	Greg LeMond	Eric Vanderaerden	Andrew Hampsten	La Vie Claire
