Year	Title	Director	Survey	Result
2003	Ya Salam	Nadine Labaki	Murex D'or	Won
2004	Lawn Ouyounak	Nadine Labaki	Murex D'or	Won
2005	Inta Eih	Nadine Labaki	Murex D'or	Nominated
2005	Inta Eih	Nadine Labaki	Egypt	Won
2006	Ehsas Jdeed	Said elMarouk	Murex D'or	Won
2007	Shakhbat Shakhabit	Said elMarouk	Murex D'or	Nominated
2008	Min Dally Nseek	Said elMarouk	Murex D'or	Nominated
2008	Min Dally Nseek	Said elMarouk	Melody Hits Charts*	Won
2009	Lamset Eed	Leila Kenaan	Murex D'or	Won
2009	Mashi Haddi	Leila Kenaan	MEMA Awards	Nominated
