Summoned	Elected	Assembled	1st member	2nd member
30 September 1295+	1295	27 November 1295	John Cullebere	Simon de Holand
26 August 1296	1296	3 November 1296	unknown	unknown
6 October 1297	1297	15 September 1297	unknown	unknown
15 March 1298	March 1298	30 March 1298	unknown	unknown
10 April 1298	1298	25 May 1298	Thomas Halyday	Robert de Sywell
29 December 1299	1299/00	6 March 1300	John Wymond	William Benne
26 September 1300	1300/01	20 January 1301	John Wymond	William Benne
14 July 1302	1302	14 October 1302	Simon le Tanner	Robert de Sywell
12 November 1304	1304/05	28 February 1305	John Halyday	William Costyn
5 April 1306	1306	30 May 1306	Simon de Wilshamstead	Geoffrey le Blund
3 November 1306	1306/07	20 January 1307	William Costyn	John le Marescal
