Venue	Hosted	Average	Highest	Lowest	Total	Last Year	Up/Down
MCG	44	47425	83905	17566	2086712	46,141	+ 1284
Football Park	22	35208	49846	22423	774580	32,424	+ 2784
Colonial Stadium	43	31939	50701	12566	1373371	30,524	+ 1415
GABBA	12	27313	36149	20059	327754	27,406	– 93
SCG	13	27159	40131	20611	353069	22,390	+ 4769
Subiaco Oval	22	26964	41285	15136	593202	30,326	– 3362
Optus Oval	9	23417	30067	15622	210750	24,656	– 1239
Shell Stadium	7	21445	27421	14298	150114	22,108	– 663
York Park	1	17460	17460	17460	17460	N/A	N/A
Manuka Oval	3	11368	13117	10030	34105	N/A	N/A
