Draw	Language	Artist	Song	English translation	Place	Points
01	English	Ronnie Carroll	" Say Wonderful Things "	—	4	28
02	Dutch	Annie Palmen	" Een speeldoos "	A musical box	13	0
03	German	Heidi Brühl	" Marcel "	—	9	5
04	German , English	Carmela Corren	" Vielleicht geschieht ein Wunder "	Maybe a miracle will happen	7	16
05	Norwegian	Anita Thallaug	" Solhverv "	Solstice	13	0
06	Italian	Emilio Pericoli	" Uno per tutte "	One for all	3	37
07	Finnish	Laila Halme	" Muistojeni laulu "	The song of my memories	13	0
08	Danish	Grethe & Jørgen Ingmann	" Dansevise "	Dance ballad	1	42
09	Croatian	Vice Vukov	" Brodovi "	Ships	11	3
10	French	Esther Ofarim	" T'en va pas "	Don't go away	2	40
11	French	Alain Barrière	" Elle était si jolie "	She was so pretty	5	25
12	Spanish	José Guardiola	" Algo prodigioso "	Something marvellous	12	2
13	Swedish	Monica Zetterlund	" En gång i Stockholm "	Once in Stockholm	13	0
14	Dutch	Jacques Raymond	" Waarom? "	Why?	10	4
15	French	Françoise Hardy	" L'amour s'en va "	Love goes away	5	25
16	French	Nana Mouskouri	" À force de prier "	By the might of prayer	8	13
