Date	Venue	Opponent	Result	Tournament	Scored
28 March 2004	Griffin Park	Salford	35-30	Super League	1
13 April 2004	The Jungle	Castleford	34-42	Super League	1
10 February 2007	Craven Park	Wakefield Trinity	14-9	Super League	1
18 February 2007	Galpharm Stadium	Huddersfield	10-17	Super League	1
6 April 2007	Craven Park	Catalans Dragons	20-34	Super League	1
9 September 2007	Craven Park	Wigan	24-40	Super League	1
9 March 2008	Belle Vue	Wakefield Trinity	22-20	Super League	2
25 April 2008	Craven Park	Leeds	22-36	Super League	1
18 May 2008	Galpharm Stadium	Huddersfield	50-16	Super League	1
8 March 2009	Craven Park	Wakefield Trinity	31-18	Super League	1
29 March 2009	Craven Park	Salford	48-12	Super League	1
26 April 2009	Craven Park	Catalans Dragons	44-10	Super League	1
12 July 2009	Craven Park	Bradford	32-12	Super League	1
27 February 2010	The Jungle	Castleford	24-28	Super League	1
12 March 2010	Craven Park	Wakefield Trinity	18-31	Super League	1
6 June 2010	Craven Park	Catalans Dragons	24-6	Super League	1
25 June 2010	Galpharm Stadium	Huddersfield	16-16	Super League	1
15 August 2010	The Willows	Salford	18-44	Super League	1
22 August 2010	Craven Park	Wigan	18-38	Super League	1
13 March 2011	Craven Park	Crusaders	40-22	Super League	1
18 March 2011	The Willows	Salford	34-18	Super League	1
9 April 2011	Craven Park	Leeds	38-28	Super League	1
25 April 2011	Craven Park	Harlequins	37-24	Super League	1
