Game	Date	Opponent	Score	Location/Attendance	Record
72	March 2	Milwaukee	112-108	Alexander Memorial Coliseum	43-29
73	March 6	Philadelphia	139-99	Alexander Memorial Coliseum	44-29
74	March 9	Cincinnati	134-107	Alexander Memorial Coliseum	45-29
75	March 11	Chicago	90-102	Chicago Stadium	45-30
76	March 12	Chicago	109-90	Alexander Memorial Coliseum	46-30
77	March 15	Philadelphia	120-122	The Spectrum	46-31
78	March 16	Seattle	131-127 (OT)	Alexander Memorial Coliseum	47-31
79	March 18	San Francisco	128-115	Oakland-Alameda County Coliseum Arena	48-31
80	March 20	San Diego	97-115	San Diego Sports Arena	48-32
81	March 21	L.A. Lakers	103-116	The Forum	48-33
82	March 23	San Diego	121-128	San Diego Sports Arena	48-34
