Province	Prefecture	County	Tujia Population	% of Chinas Tujia Population
Chongqing	Same	Youyang	462444	5.76%
Hunan	Zhangjiajie	Cili	399906	4.98%
Hubei	Enshi	Lichuan	388035	4.83%
Hunan	Changde	Shimen	387480	4.83%
Guizhou	Tongren	Yanhe	383499	4.78%
Chongqing	same	Shizhu	348790	4.34%
Hunan	Xiangxi	Yongshun	342570	4.27%
Hunan	Zhangjiajie	Yongding	319330	3.98%
Guizhou	Tongren	Dejiang	300432	3.74%
Hubei	Enshi	Xianfeng	276394	3.44%
Hubei	Enshi	Enshi	270753	3.37%
Chongqing	same	Qianjiang	261327	3.26%
Hunan	Zhangjiajie	Sangzhi	260092	3.24%
Hunan	Xiangxi	Longshan	251007	3.13%
Guizhou	Tongren	Yinjiang	233802	2.91%
Hubei	Enshi	Badong	212424	2.65%
Hubei	Yichang	Changyang	211129	2.63%
Chongqing	same	Xiushan	197570	2.46%
Hubei	Yichang	Wufeng	174546	2.17%
Hubei	Enshi	Jianshi	173984	2.17%
Guizhou	Tongren	Sinan	160089	1.99%
Hunan	Xiangxi	Baojing	148291	1.85%
Hubei	Enshi	Hefeng	142805	1.78%
Hubei	Enshi	Xuan'en	140837	1.75%
Hunan	Xiangxi	Jishou	103242	1.29%
Hunan	Huaihua	Yuanling	102636	1.28%
Hubei	Enshi	Laifeng	93471	1.16%
Guizhou	Tongren	Jiangkou	77791	0.97%
Chongqing	same	Pengshui	74591	0.93%
Guizhou	Tongren	Tongren	70286	0.88%
Hunan	Xiangxi	Fenghuang	64727	0.81%
Hunan	Xiangxi	Guzhang	47162	0.59%
Guizhou	Zunyi	Wuchuan	46253	0.58%
Hunan	Huaihua	Xupu	45900	0.57%
Hunan	Zhangjiajie	Wulingyuan	41910	0.52%
Hunan	Xiangxi	Luxi	40643	0.51%
