#	Original title	Directed by	Written by	Original airdate	Production code
3–1	"Leavin' on a Jet Plane"	Delyth Thomas	Mary Morris	12February2004	3.1
3–2	"Supernatural Shelley"	Delyth Thomas	Laura Summers	12February2004	3.2
3–3	"Jackie"	Delyth Thomas	Gary Parker	19February2004	3.3
3–4	"Free Louise"	Delyth Thomas	Laura Summers	19February2004	3.4
3–5	"The Bygraves"	Delyth Thomas	Gary Parker	26February2004	3.5
3–6	"Down with School"	Delyth Thomas	Laura Summers	26February2004	3.6
3–7	"Crashed and Thrashed"	Delyth Thomas	Mary Morris	5March2004	3.7
3–8	"No-one Quite Like Grandpa"	Delyth Thomas	Othniel Smith	6March2004	3.8
3–9	"Down to Earth"	Joss Agnew	Dan Anthony	12March2004	3.9
3–10	"Nothing Happens Here"	Joss Agnew	Mary Morris	12March2004	3.10
3–11	"The Beaker Club"	Joss Agnew	Simon Nicholson	19March2004	3.11
3–12	"Power Cut"	Joss Agnew	Abigail Abben Mensah	19March2004	3.12
3–13	"Just Desserts"	Joss Agnew	Othniel Smith	26March2004	3.13
3–14	"Mind Your Own Business"	Joss Agnew	Holly Lyons	26March2004	3.14
3–15	"I Am Not In Love"	Joss Agnew	Holly Lyons	2April2004	3.15
3–16	"Time Capsule"	Joss Agnew	Marvin Close	2April2004	3.16
3–17	"Football Trial"	Joss Agnew	Andy Walker	9April2004	3.17
3–18	"We Are Family"	Joss Agnew	Tracy Brabin	9April2004	3.18
3–19	"Be Prepared"	Laurence Wilson	Laura Summers	16April2004	3.19
3–20	"Sufia The Silent"	Laurence Wilson	Ariane Sherine	16April2004	3.20
3–21	"Babies Suck!"	Laurence Wilson	Mary Morris	23April2004	3.21
3–22	"Exploited"	Laurence Wilson	Marvin Close	23April2004	3.22
3–23	"Be Quiet"	Laurence Wilson	Dan Anthony	7May2004	3.23
3–24	"Dad Trouble"	Laurence Wilson	Gary Parker	30April2004	3.24
3–25	"The Big Race"	Laurence Wilson	Gary Parker	30April2004	3.25
