AB - Angry boar	B - Bishop	BA - Running Bear	BB - Blind Bear	BC - Beast Cadet
BD - Buddhist Devil	BE - Bear Soldier	BG - Bishop General	BI - Blind Dog	BL - Blue Dragon
BM - Blind Monkey	BN - Burning Soldier	BO - Beast Officer	BS - Boar Soldier	BT - Blind Tiger
C - Copper General	CA - Capricorn	CC - Chinese Cock	CD - Ceramic Dove	CE - Cloud Eagle
CG - Chicken General	CH - Chariot Soldier	CI - Stone Chariot	CK - Flying Cock	CL - Cloud Dragon
CM - Climbing Monkey	CN - Center Standard	CO - Captive Officer	CP - Crown Prince	CR - Copper Chariot
CS - Cat Sword	CT - Captive Cadet	D - Dog	DE - Drunken Elephant	DG - Roaring Dog
DH - Dragon Horse	DK - Dragon King	DO - Donkey	DM - Fire Demon	DS - Dark Spirit
DV - Deva	EA - Earth General	EB - Enchanted Badger	EC - Earth Chariot	ED - Earth Dragon
EG - Fierce Eagle	EL - Soaring Eagle	ES - Eastern Barbarian	EW - Evil Wolf	F - Fire General
FC - Flying Cat	FD - Flying Dragon	FE - Free Eagle	FG - Fragrant Elephant	FH - Flying Horse
FI - Fire Dragon	FK - Free King	FL - Ferocious Leopard	FO - Forest Demon	FP - Free Pup
FR - Free Demon	FS - Flying Swallow	FT - Free Dream-Eater	FY - Flying Goose	G - Gold General
GB - Go Between	GC - Gold Chariot	GD - Great Dragon	GE - Great Standard	GG - Great General
GL - Golden Deer	GM - Great Master	GN - Wood General	GO - Golden Bird	GR - Great Dove
GS - Great Stag	GT - Great Turtle	GU - Guardian of the Gods	H - Horse General	HD - Howling Dog
HE - Ram’s-head Soldier	HF - Horned Falcon	HM - Hook Mover	HO - Horseman	HR - Running Horse
HS - Horse Soldier	I - Iron General	K- King	KM - Kirin Master	KR - Kirin
L - Lance	LB - Longbow Soldier	LC - Left Chariot	LD - Lion Dog	LE - Left Dragon
LG - Left General	LH - Liberated Horse	LI - Lion Hawk	LL - Little Turtle	LN - Lion
LO - Long-nosed Goblin	LP - Leopard Soldier	LS - Little Standard	LT - Left Tiger	M - Mountain General
MD - Mountain Dove	ME - Mountain Eagle	MF - Mountain Falcon	MK - Side Monkey	MS - Mountain Stag
MT - Center Master	N - Knight	NB - Northern Barbarian	NK - Neighboring King	NT – Violent wolf
O - Ox General	OC - Oxcart	OK - Old Kite	OM - Old Monkey	OR - Old Rat
OS - Ox Soldier	OW - Swooping Owl	OX - Flying Ox	P - Pawn	PC - Peacock
PG - Pup General	PH - Phoenix	PI - Pig General	PM - Phoenix Master	PR - Prancing Stag
PS - Poisonous Snake	R - Rook	RA - Rain Dragon	RB - Rushing Bird	RC - Right Chariot
RD - Reclining Dragon	RE - River General	RG - Right General	RH - Running Chariot	RI - Right Dragon
RM - Roc Master	RN - Running Stag	RO - Rook General	RP - Running Pup	RR - Running Rabbit
RS - Rear Standard	RT - Running Tiger	RU - Running Serpent	RV - Reverse Chariot	RW - Running Wolf
S - Silver General	SA - Side Boar	SB - Cross-bow Soldier	SD - Front Standard	SE - Sword Soldier
SF - Side Flier	SG - Stone General	SI - Side Dragon	SL - Side Soldier	SM - Side Mover
SN - Coiled Serpent	SO - Soldier	SP - Spear Soldier	SQ - Square Mover	SR - Silver Rabbit
SS - Side Serpent	ST - Strutting Crow	SU - Southern Barbarian	SV - Silver Chariot	SW - Swallow’s Wings
SX - Side Ox	T - Tile General	TC - Tile Chariot	TF - Treacherous Fox	TG - Savage Tiger
TS - Turtle-snake	TT - Right Tiger	VB - Violent Bear	VD - Violent Dragon	VE - Vertical Bear
VG - Vice General	VH - Vertical Horse	VI - Vermillion Sparrow	VL - Vertical Leopard	VM - Vertical Mover
VO - Violent Ox	VP - Vertical Pup	VR - Vertical Soldier	VS - Violent Stag	VT - Vertical Tiger
VW - Vertical Wolf	W - Whale	WA - Water Dragon	WB - Water Buffalo	WC - Wood Chariot
WD - Wind Dragon	WE - White Elephant	WF - Side Wolf	WG - Water General	WH - White Horse
WL - Woodland Demon	WN - Wind General	WO - Wooden Dove	WR - Wrestler	WS - Western Barbarian
