Year	Mens singles	Womens singles	Mens doubles	Womens doubles	Mixed doubles
2012	Anand Pawar	Sayaka Takahashi	Takeshi Kamura Keigo Sonoda	Naoko Fukuman Kurumi Yonao	Marcus Ellis Gabrielle White
2011	Rajiv Ouseph	Judith Meulendijks	Vladimir Ivanov Ivan Sozonov	Emelie Lennartsson Emma Wengberg	Kim Astrup Sorensen Line Kjaersfeldt
2009	Marc Zwiebler	Susan Egelstaff	Mads Conrad-Petersen Mads Pieler Kolding	Valeria Sorokina Nina Vislova	Alexander Nikolaenko Valeria Sorokina
2008	Rajiv Ouseph	Elizabeth Cann	Richard Eidestedt Andrew Ellis	Mariana Agathangelou Jillie Cooper	Michael Fuchs Annekatrin Lillie
2007	Kenichi Tago	Kanako Yonekura	Robert Blair David Lindley	Nina Vislova Valeria Sorokina	Robert Blair Imogen Bankier
2006	Ville Lång	Ella Karachkova	Imanuel Hirschfeld Imam Sodikin	Marina Yakusheva Elena Shimko	Vitaly Durkin Valerya Sorokina
2005	Przemysław Wacha	Ella Karachkova	Imam Sodikin Irawan Andi Tandaputra	Valeri Sorokina Nina Vislova	Kristian Roebuck Jenny Wallwork
2004	Arvind Bhat	Yuan Wemyss	Joakim Hansson Frederik Bergström	Kamila Augustyn Nadiezda Kostiuczyk	Frederik Bergström Johanna Persson
2003	Björn Joppien	Xu Huaiwen	Michał Łogosz Robert Mateusiak	Kumiko Ogura Reiko Shiota	Simon Archer Donna Kellogg
2002	Antti Viitikko	Yuki Shimada	Jesper Christensen Jesper Larsen	Kirsteen McEwan Yuan Wemyss	Robert Blair Natalie Munt
