Name	Stories	Height	Built	Purpose	Status
Pilsotas	34	111.9 m.	2007	Residential	Built
BIG 2 Complex	25	72–82 m.	2009	Mixed use	Built
K Tower	20	71.9 m.	2006	Office	Built
D Tower	20	71.9 m.	2006	Residential	Built
Klaipėdos burė	22	66 m.	2009	Residential	Built
Aukštoji Smeltė	20	66 m.	2009	Residential	Under construction
Minijos Banga	20	62.2 m.	2007	Residential	Built
Neapolis Business Centre	16	56.7 m.	2007	Office	Built
Baltijos Avenue Tower	15	50 m.	2002	Residential	Built
Vėtrungė	13	42 m.	–	Retail	Built
