Rank	Nation	Gold	Silver	Bronze	Total
1	South Korea	7	3	2	12
2	United States	3	0	1	4
3	Spain	2	2	4	8
4	Iran	1	3	1	5
5	Brazil	1	1	0	2
6	China	1	0	1	2
6	Mexico	1	0	1	2
8	France	0	1	1	2
8	Russia	0	1	1	2
8	Turkey	0	1	1	2
11	Chinese Taipei	0	1	0	1
11	Great Britain	0	1	0	1
11	Morocco	0	1	0	1
11	Puerto Rico	0	1	0	1
15	Australia	0	0	2	2
15	Canada	0	0	2	2
15	Thailand	0	0	2	2
18	Austria	0	0	1	1
18	Belgium	0	0	1	1
18	Croatia	0	0	1	1
18	Cuba	0	0	1	1
18	Egypt	0	0	1	1
18	Germany	0	0	1	1
18	Israel	0	0	1	1
18	Italy	0	0	1	1
18	Japan	0	0	1	1
18	Netherlands	0	0	1	1
18	Senegal	0	0	1	1
18	Venezuela	0	0	1	1
18	Vietnam	0	0	1	1
Total	Total	16	16	32	64
