Game	January	Opponent	Score	Record	Points
39	2	@ New Jersey Devils	1–1 OT	17–14–8–0	42
40	5	@ Atlanta Thrashers	6–4	18–14–8–0	44
41	6	Atlanta Thrashers	2–2 OT	18–14–9–0	45
42	8	@ St. Louis Blues	2–1 OT	19–14–9–0	47
43	12	@ Tampa Bay Lightning	3–0	20–14–9–0	49
44	13	@ Florida Panthers	4–1	21–14–9–0	51
45	16	@ New York Rangers	3–4 OT	21–14–9–1	52
46	18	New Jersey Devils	1–7	21–15–9–1	52
47	20	Florida Panthers	5–3	22–15–9–1	54
48	22	Los Angeles Kings	3–0	23–15–9–1	56
49	25	@ Chicago Blackhawks	5–1	24–15–9–1	58
50	27	@ Carolina Hurricanes	4–3	25–15–9–1	60
51	28	@ Washington Capitals	2–4	25–16–9–1	60
52	31	@ Pittsburgh Penguins	5–1	26–16–9–1	62
