Country	Political Rights 2010	Civil Liberties 2010	Status 2010	Political Rights 2011	Civil Liberties 2011	Status 2011	Political Rights 2012	Civil Liberties 2012	Status 2012	Political Rights 2013	Civil Liberties 2013	Status 2013
Algeria	6	5	Not Free	6	5	Not Free	6	5	Not Free	6	5	Not Free
Bahrain	6	5	Not Free	6	5	Not Free	6	6	Not Free	6	6	Not Free
Egypt	6	5	Not Free	6	5	Not Free	6	5	Not Free	5	5	Partly Free
Gaza Strip ‡ ( PNA )	6	6	Not Free	6	6	Not Free	6	6	Not Free	6	6	Not Free
Iran	6	6	Not Free	6	6	Not Free	6	6	Not Free	6	6	Not Free
Iraq	5	6	Not Free	5	6	Not Free	5	6	Not Free	6	6	Not Free
Israel *	1	2	Free	1	2	Free	1	2	Free	1	2	Free
Jordan	6	5	Not Free	6	5	Not Free	6	5	Not Free	6	5	Not Free
Kuwait	4	4	Partly Free	4	5	Partly Free	4	5	Partly Free	5	5	Partly Free
Lebanon	5	3	Partly Free	5	3	Partly Free	5	4	Partly Free	5	4	Partly Free
Libya	7	7	Not Free	7	7	Not Free	7	6	Not Free	4	5	Partly Free
Morocco	5	4	Partly Free	5	4	Partly Free	5	4	Partly Free	5	4	Partly Free
Oman	6	5	Not Free	6	5	Not Free	6	5	Not Free	6	5	Not Free
Qatar	6	5	Not Free	6	5	Not Free	6	5	Not Free	6	5	Not Free
Saudi Arabia	7	6	Not Free	7	6	Not Free	7	7	Not Free	7	7	Not Free
Syria	7	6	Not Free	7	6	Not Free	7	7	Not Free	7	7	Not Free
Turkey *	3	3	Partly Free	3	3	Partly Free	3	3	Partly Free	3	4	Partly Free
Tunisia *	7	5	Not Free	7	5	Not Free	3	4	Partly Free	3	4	Partly Free
United Arab Emirates	6	5	Not Free	6	5	Not Free	6	6	Not Free	6	6	Not Free
Yemen	6	5	Not Free	6	5	Not Free	6	6	Not Free	6	6	Not Free
West Bank ‡ ( PNA )	6	6	Not Free	6	5	Not Free	6	5	Not Free	6	5	Not Free
Western Sahara ‡ ( Morocco )	7	6	Not Free	7	6	Not Free	7	7	Not Free	7	7	Not Free
