Driver	Constructor	Laps	Time/Retired	Grid
Juan Pablo Montoya	Williams - BMW	71	1:28:01.451	2
Kimi Räikkönen	McLaren - Mercedes	71	+1.022	3
Rubens Barrichello	Ferrari	71	+24.099	1
Fernando Alonso	Renault	71	+48.508	8
Ralf Schumacher	Williams - BMW	71	+49.740	7
Takuma Sato	BAR - Honda	71	+50.248	6
Michael Schumacher	Ferrari	71	+50.626	18
Felipe Massa	Sauber - Petronas	71	+1:02.310	4
Giancarlo Fisichella	Sauber - Petronas	71	+1:03.842	10
Jacques Villeneuve	Renault	70	+1 Lap	13
David Coulthard	McLaren - Mercedes	70	+1 Lap	12
Jarno Trulli	Toyota	70	+1 Lap	9
Ricardo Zonta	Toyota	70	+1 Lap	14
Christian Klien	Jaguar - Cosworth	69	+2 Lap	15
Timo Glock	Jordan - Ford	69	+2 Lap	17
Zsolt Baumgartner	Minardi - Cosworth	67	+4 Lap	19
Gianmaria Bruni	Minardi - Cosworth	67	+4 Laps	20
Mark Webber	Jaguar - Cosworth	23	Collision	11
Nick Heidfeld	Jordan - Ford	15	Clutch	16
Jenson Button	BAR - Honda	3	Engine	5
