Game	Date	Opponents	Venue	Result	Score F–A	Attendance
1	9 August 2008	Crawley Town	A	W	1–0	1,372
2	14 August 2008	Wrexham	H	W	1–0	2,603
3	16 August 2008	Histon	H	D	1–1	2,125
4	23 August 2008	Northwich Victoria	A	D	2–2	1,065
5	25 August 2008	Barrow	H	D	1–1	2,664
6	28 August 2008	Torquay United	A	D	1–1	1,598
7	2 September 2008	Mansfield Town	H	D	1–1	2,520
8	6 September 2008	Woking	H	W	2–0	2,307
9	13 September 2008	Kettering Town	A	L	2–4	2,017
10	20 September 2008	Salisbury City	H	D	1–1	2,280
11	23 September 2008	Kidderminster Harriers	A	L	0–2	1,481
12	28 September 2008	Stevenage Borough	A	D	3–3	1,917
13	4 October 2008	Cambridge United	H	D	0–0	2,608
14	7 October 2008	Wrexham	A	L	1–3	5,173
15	11 October 2008	Woking	A	W	2–0	2,341
16	18 October 2008	Rushden & Diamonds	H	W	2–0	2,313
17	1 November 2008	Oxford United	A	L	0–1	4,449
18	15 November 2008	Torquay United	H	L	1–2	2,412
19	18 November 2008	Cambridge United	A	L	0–1	2,914
20	23 November 2008	Crawley Town	H	D	2–2	1,935
21	29 November 2008	Salisbury City	A	D	1–1	986
22	6 December 2008	Grays Athletic	H	L	0–1	2,154
23	9 December 2008	Histon	A	D	1–1	901
24	20 December 2008	Ebbsfleet United	H	W	3–1	1,997
25	26 December 2008	Burton Albion	A	L	1–2	3,578
26	28 December 2008	Altrincham	H	L	1–2	2,389
27	1 January 2009	Burton Albion	H	L	1–3	2,703
28	17 January 2009	Lewes	H	W	3–0	2,073
29	24 January 2009	Eastbourne Borough	A	L	1–2	1,668
30	27 January 2009	Altrincham	A	D	1–1	1,027
31	7 February 2009	Mansfield Town	A	L	0–1	2,576
32	24 February 2009	Rushden & Diamonds	A	L	0–2	1,020
33	28 February 2009	Weymouth	H	W	2–0	2,349
34	8 March 2009	Ebbsfleet United	A	D	0–0	1,244
35	17 March 2009	Forest Green Rovers	A	D	1–1	681
36	24 March 2009	Kettering Town	H	D	0–0	1,714
37	28 March 2009	Kidderminster Harriers	H	D	0–0	2,384
38	31 March 2009	Stevenage Borough	H	L	0–2	1,924
39	4 April 2009	Grays Athletic	A	L	0–1	720
40	7 April 2009	Oxford United	H	D	0–0	2,268
41	11 April 2009	Northwich Victoria	H	L	1–2	2,421
42	13 April 2009	Barrow	A	D	0–0	2,168
43	18 April 2009	Eastbourne Borough	H	W	1–0	2,487
44	21 April 2009	Forest Green Rovers	H	W	2–1	2,164
45	24 April 2009	Weymouth	A	W	2–1	1,122
46	26 April 2009	Lewes	A	D	1–1	802
