Date	City	Opponent	Results¹	Type of game
May 16	Belgrade	East Germany	3:1	Friendly
May 31	Arica , Chile	USSR	0:2	WC Round 1
June 2	Arica , Chile	Uruguay	3:1	WC Round 1
June 7	Arica , Chile	Colombia	5:0	WC Round 1
June 10	Santiago , Chile	West Germany	1:0	WC Round 2
June 13	Vinja del Mar , Chile	Czechoslovakia	1:3	WC Round 2
June 16	Santiago , Chile	Chile	0:1	WC Round 2
September 16	Leipzig , Germany	East Germany	2:2	Friendly
September 19	Belgrade	Ethiopia	5:2	Friendly
September 30	Zagreb	West Germany	2:3	Friendly
October 14	Budapest , Hungary	Hungary	1:0	Friendly
November 4	Belgrade	Belgium	3:2	Euro '64 Qualifying
