Team	Stadium	Capacity	Highest	Lowest	Average
Annan Athletic	Galabank Stadium	3,500	1,343	422	734
Dumbarton	Strathclyde Homes Stadium	2,025	1,398	462	716
Stenhousemuir	Ochilview Park	2,624	805	311	496
Forfar Athletic	Station Park	5,177	621	362	460
East Stirlingshire	Ochilview Park [A ]	2,624	812	343	450
Cowdenbeath	Central Park	2,000	1,181	193	415
Berwick Rangers	Shielfield Park	4,131	570	288	414
Elgin City	Borough Briggs	3,927	537	276	392
Montrose	Links Park	3,292	570	294	379
Albion Rovers	Cliftonhill	1,249	452	237	312
