Candidate	Background	Original Team	Age	Hometown	Result
Sean Yazbeck	Recruitment Consultant	Synergy	33	London, United Kingdom	Hired by Trump (6-5-2006)
Lee Bienstock	Business Analyst	Gold Rush	22	Brooklyn, New York	Fired in the Season Finale (6-5-2006)
Allie Jablon	Medical Sales Manager	Synergy	30	Columbia, South Carolina	10 Fired in week 13 (5-22-2006)
Roxanne Wilson	Appellate Attorney	Synergy	26	Austin, Texas	10 Fired in week 13 (5-22-2006)
Tammy Trenta	Wealth Manager	Synergy	33	Edison, New Jersey	10 Fired in week 12 (5-15-2006)
Michael Laungani	Management Consultant	Synergy	29	Chicago, Illinois	10 Fired in week 11 (5-8-2006)
Tarek Saab	Hi-Tech Manager	Gold Rush	27	New Bedford, Massachusetts	10 Fired in week 10 (5-1-2006)
Charmaine Hunt	Real Estate Consultant	Gold Rush	27	Nashville, Tennessee	10 Fired in week 10 (5-1-2006)
Andrea Lake	Sticker Company Owner	Synergy	31	San Diego, California	10 Fired in week 9 (4-24-2006)
Leslie Bourgeois	Realtor	Gold Rush	28	Houma, Louisiana	10 Fired in week 8 (4-10-2006)
Lenny Veltman	Trading Company Owner	Gold Rush	37	Tashkent, Uzbekistan	10 Fired in week 7 (4-10-2006)
Bryce Gahagan	Home Builder	Gold Rush	28	Kansas City, Missouri	10 Fired in week 6 (4-3-2006)
Dan Brody	Clothing Company Owner	Gold Rush	31	Miami, Florida	10 Fired in week 5 (3-27-2006)
Brent Buckman	Attorney	Synergy	30	Fort Lauderdale, Florida	10 Fired in week 4 (3-20-2006)
Theresa Boutross	Psychotherapist	Gold Rush	36	Barrington, Illinois	10 Fired in week 3 (3-13-2006)
Jose "Pepi" Diaz	Attorney	Synergy	25	Miami, Florida	10 Fired in week 2 (3-6-2006)
Stacy Schneider	Criminal Defense Attorney	Synergy	38	New York, New York	10 Fired in week 2 (3-6-2006)
