Country	Project Name	Year startup	Operator	Peak
OPEC	OPEC	OPEC	OPEC	OPEC
Algeria	Rhourde El Baguel Exp	2010	BP	50
Iran	Azar 2 (Anaran Block)	2010	Statoil	55
Iran	Mehr	2010	OMV	40
Iraq	Rafidain	2010	SOC	0
Iraq	Subba; Luhais Ph 1	2010	Petrel	0
Iraq	Taq Taq ph 2	2010	Addax/ Genel Enerji	90
Iraq	Rumaila	2010	RFOO	1850
Nigeria	Ebok	4/2010	Afren	35
Nigeria	Gbaran Ubie Ph 1	6/2010	Shell	70
Qatar	Al Shaheen Expansion	2010	Maersk Oil	80
Qatar	RasGas 2 Train 7	2010	Exxon	75
Qatar	Qatargas 3 Train 6	2010	QP/Conoco Phillips/Mitsui	75
Saudi Arabia	Khurais Exp Ph 2	1/2010	Saudi Aramco	600
Saudi Arabia	Khurais Exp	1/2010	Saudi Aramco	70
UAE	Jarn Yabhour; Ramhan	2010	Occidental	20
UAE	Lower Zakum - Umm Shaif Exp	2010	ADNOC	150
Non-OPEC	Non-OPEC	Non-OPEC	Non-OPEC	Non-OPEC
Australia	Pyrenees (Ravensworth, Crosby, Stickle, Harrison)	3/2010	BHP Billiton	50
Australia	Van Gogh	1/2010	Apache	15
Brazil	Cachalote Ph 1 (Baleia Franca)	3/2010	Petrobras	75
Brazil	Frade Ph 2	2010	Chevron	60
Brazil	Tupi Pilot	10/2010	Petrobras	85
Brazil	BS-500 (Urugua; Tambau)	3/2010	Petrobras	30
Canada	North Amethyst	1/2010	Husky	35
Canada	AOSP Expansion 1 (Jackpine Ph 1A)	2010	Shell	90
Canada	Christina Lake (Phase 1C)	2010	EnCana	30
Canada	Algar	2010	Connacher	10
Canada	Firebag Ph 4	2010	Suncor	60
Denmark	Halfdan Ph 4	2010	Maersk Oil	20
Gabon	East Orovinyare (EOV)	5/2010	BowLeven	10
Ghana	Jubilee (Mahogany; Hyedua)	10/2010	Tullow/Kosmos	120
India	B-193 Cluster	5/2010	ONGC	25
Norway	Gjøa	8/2010	Statoil	50
Norway	Morvin	5/2010	Statoil	20
Norway	Valemon	2010	Statoil	30
Norway	Valhall redevelopment	9/2010	BP	90
Norway	Yme	2010	Talisman	25
Oman	Harweel EOR	2010	PDO	45
Oman	Mukhaizna EOR Ph 2	2010	Occidental	65
Oman	Qarn Alam EOR	2010	PDO	45
Philippines	Malampaya	2010	Burgundy Global	15
Russia	Bolshekhetsky (Suzunskoye; Tagulskoye)	2010	TNK-BP	100
Russia	South Priobskoye Exp	2010	Gazprom	150
USA	Chinook, Cascade	7/2010	Petrobras	80
USA	Clipper	7/2010	ATP Oil and Gas	10
USA	Perdido Hub (Great White; Tobago; Silvertip)	3/2010	Shell	100
USA	Phoenix	7/2010	Helix	25
USA	Telemark Hub (Mirage; Morgus; Telemark)	1/2010	ATP Oil and Gas	15
Vietnam	Nam Rong Doi Moi	2010	VRJ Petroleum	15
Vietnam	Te Giac Trang	2010	Hoang Long Joint	55
Vietnam	Su Tu Den (Black Lion) Northeast	2010	Cuu Long Joint	40
