Game	Date	Opponent	Result	Dolphins' points	Opponents' Points	Record	Streak	Attendance
1	09/09/01	at Tennessee Titans	W	31	23	1–0	W-1	68,798
2	09/23/01	Oakland Raiders	W	18	15	2–0	W-2	73,404
3	09/30/01	at St. Louis Rams	L	10	42	2–1	L-1	66,046
4	10/07/01	New England Patriots	W	30	10	3–1	W-1	72,713
5	10/14/01	at New York Jets	L	17	21	3–2	L-1	78,823
6	Bye	Bye	Bye	Bye	Bye	Bye	Bye	Bye
7	10/28/01	at Seattle Seahawks	W	24	20	4–2	W-1	59,108
8	11/04/01	Carolina Panthers	W	23	6	5–2	W-2	72,597
9	11/11/01	at Indianapolis Colts	W	27	24	6–2	W-3	57,127
10	11/18/01	New York Jets	L	0	24	6–3	L-1	74,259
11	11/25/01	at Buffalo Bills	W	34	27	7–3	W-1	73,063
12	12/02/01	Denver Broncos	W	21	10	8–3	W-2	73,938
13	12/10/01	Indianapolis Colts	W	41	6	9–3	W-3	73,858
14	12/16/01	at San Francisco 49ers	L	0	21	9–4	L-1	68,223
15	12/22/01	at New England Patriots	L	13	20	9–5	L-2	60,292
16	12/30/01	Atlanta Falcons	W	21	14	10–5	W-1	73,559
17	01/06/02	Buffalo Bills	W	34	7	11–5	W-2	73,428
WC	01/13/02	Baltimore Ravens	L	3	20	11–6	L-1	72,251
