Team	Constructor	Motorcycle	Tyre	Rider	Rounds
Ducati Marlboro Team	Ducati	Ducati Desmosedici GP8	B	Casey Stoner	All
Ducati Marlboro Team	Ducati	Ducati Desmosedici GP8	B	Marco Melandri	All
Repsol Honda Team	Honda	Honda RC212V	M B	Dani Pedrosa †	14-18
Repsol Honda Team	Honda	Honda RC212V	M	Dani Pedrosa †	1-13
Repsol Honda Team	Honda	Honda RC212V	M	Tadayuki Okada	6
Repsol Honda Team	Honda	Honda RC212V	M	Nicky Hayden	1–11, 13–18
JiR Team Scot MotoGP	Honda	Honda RC212V	M	Andrea Dovizioso	All
Tech 3 Yamaha	Yamaha	Yamaha YZR-M1	M	Colin Edwards	All
Tech 3 Yamaha	Yamaha	Yamaha YZR-M1	M	James Toseland	All
Rizla Suzuki MotoGP	Suzuki	Suzuki GSV-R	B	Chris Vermeulen	All
Rizla Suzuki MotoGP	Suzuki	Suzuki GSV-R	B	Nobuatsu Aoki	17
Rizla Suzuki MotoGP	Suzuki	Suzuki GSV-R	B	Ben Spies	8
Rizla Suzuki MotoGP	Suzuki	Suzuki GSV-R	B	Ben Spies	11, 14
Rizla Suzuki MotoGP	Suzuki	Suzuki GSV-R	B	Kousuke Akiyoshi	15
Rizla Suzuki MotoGP	Suzuki	Suzuki GSV-R	B	Loris Capirossi	1–7, 9–18
Kawasaki Racing Team	Kawasaki	Kawasaki Ninja ZX-RR	B	Jamie Hacking	11
Kawasaki Racing Team	Kawasaki	Kawasaki Ninja ZX-RR	B	Anthony West	All
Kawasaki Racing Team	Kawasaki	Kawasaki Ninja ZX-RR	B	John Hopkins	1–9, 12–18
LCR Honda MotoGP	Honda	Honda RC212V	M	Randy de Puniet	All
San Carlo Honda Gresini	Honda	Honda RC212V	B	Alex de Angelis	All
San Carlo Honda Gresini	Honda	Honda RC212V	B	Shinya Nakano	All
Alice Team	Ducati	Ducati Desmosedici GP9	B	Toni Elías	All
Alice Team	Ducati	Ducati Desmosedici GP9	B	Sylvain Guintoli	All
Fiat Yamaha Team	Yamaha	Yamaha YZR-M1	B	Valentino Rossi	All
Fiat Yamaha Team	Yamaha	Yamaha YZR-M1	M	Jorge Lorenzo	All
