Player	Played	Legs Won	Legs Lost	LWAT	100+	140+	180s	High Checkout	3-dart Average
Phil Taylor	5	74	34	30	143	92	36	160	104.81
James Wade	5	65	46	28	120	95	42	157	99.49
Steve Beaton	1	6	10	0	19	14	4	152	97.91
Mark Walsh	2	19	19	7	60	26	12	96	97.72
Colin Osborne	2	15	20	5	44	19	10	110	96.93
Dennis Priestley	4	47	50	18	131	62	13	155	94.10
Alan Tabern	3	37	31	14	98	52	14	120	93.31
Ronnie Baxter	2	17	17	7	44	23	4	102	93.20
Terry Jenkins	2	21	19	9	52	30	9	160	92.79
Kevin McDine	3	29	33	9	87	35	15	160	92.69
Andy Hamilton	1	12	14	5	35	18	4	140	92.59
Vincent van der Voort	1	8	10	3	18	15	5	96	92.25
Mervyn King	1	7	10	1	22	13	1	116	91.49
Colin Lloyd	1	6	10	2	22	5	2	127	91.37
Alex Roy	1	6	10	3	27	13	2	116	91.32
Wayne Jones	1	4	10	1	18	12	1	116	91.04
Matt Clark	3	35	26	11	75	34	9	161	90.80
Michael van Gerwen	2	23	25	9	64	29	8	112	90.68
Denis Ovens	1	4	10	1	22	10	3	110	90.59
Roland Scholten	1	4	10	0	17	6	1	74	90.56
Peter Manley	2	16	17	5	48	20	8	156	90.03
Raymond van Barneveld	3	40	30	16	91	44	6	138	89.57
Wayne Mardle	4	47	51	16	133	65	12	155	89.20
Adrian Lewis	1	8	10	3	17	14	4	116	88.75
Mark Dudbridge	1	9	11	2	23	18	5	160	88.28
John Part	2	17	16	6	26	24	7	120	87.75
Tony Eccles	2	13	21	4	54	11	4	157	86.78
Kevin Painter	1	8	10	3	26	10	2	76	86.57
Adrian Gray	1	8	10	3	23	7	3	81	84.63
Andy Smith	1	4	10	1	22	5	2	80	84.45
Mark Frost	1	9	11	5	29	13	2	102	82.17
Chris Mason	1	3	10	1	26	3	0	115	81.97
