Peak	Height (m)	Prom. (m)	Class	Parent
Great Gable	899	425	Marilyn	Scafell Pike
Pillar	892	348	Marilyn	Great Gable
Scoat Fell	841	86	Hewitt	Pillar
Black Crag	828	34	Hewitt	Pillar
Red Pike (Wasdale)	826	62	Hewitt	Pillar
Steeple	819	24	Nuttall	Scoat Fell
High Stile	807	362	Marilyn	Great Gable
Kirk Fell	802	181	Marilyn	Great Gable
Green Gable	801	50	Hewitt	Great Gable
Haycock	797	94	Hewitt	Pillar
Kirk Fell east top	787	36	Hewitt	Kirk Fell
Pillar Rock	780	15	Nuttall	Pillar
Red Pike (Buttermere)	755	40	Hewitt	High Stile
High Crag	744	35	Hewitt	High Stile
Little Gowder Crag	733	17	Nuttall	Haycock
Brandreth	715	61	Hewitt	Great Gable
Caw Fell	697	22	Nuttall	Haycock
Grey Knotts	697	16	Nuttall	Brandreth
Seatallan	692	193	Marilyn	Pillar
Fleetwith Pike	648	117	Hewitt	Great Gable
Base Brown	646	38	Hewitt	Green Gable
Dodd	641	20	Nuttall	Red Pike
Iron Crag	640	56	Hewitt	Haycock
Starling Dodd	633	73	Hewitt	High Stile
Honister Crag	630	20	Nuttall	Fleetwith Pike
Yewbarrow	627	142	Hewitt	Pillar
Looking Stead	627	20	Nuttall	Pillar
Great Borne	616	113	Hewitt	High Stile
Yewbarrow north top	616	33	Hewitt	Yewbarrow
