Season	Premiered	Bachelor	Winner	Runner(s)-Up	Proposal
1	March 25, 2002	Alex Michel	Amanda Marsh	Trista Rehn	No
2	September 25, 2002	Aaron Buerge	Helene Eksterowicz	Brooke Smith	Yes
3	March 24, 2003	Andrew Firestone	Jen Schefft	Kirsten Buschbacher	Yes
4	September 24, 2003	Bob Guiney	Estella Gardinier	Kelly Jo Kuharski	No
5	April 7, 2004	Jesse Palmer	Jessica Bowlin	Tara Huckeby	No
6	September 22, 2004	Byron Velvick	Mary Delgado	Tanya Michel	Yes
7	March 28, 2005	Charlie O'Connell	Sarah Brice	Krisily Kennedy	No
8	January 9, 2006	Travis Lane Stork	Sarah Stone	Moana Dixon	No
9	October 3, 2006	Prince Lorenzo Borghese	Jennifer Wilson	Sadie Murray	No
10	April 2, 2007	Andrew Baldwin	Tessa Horst	Bevin Nicole Powers	Yes
11	September 24, 2007	Brad Womack	None	DeAnna Pappas and Jenni Croft	No
12	March 17, 2008	Matt Grant	Shayne Lamas	Chelsea Wanstrath	Yes
13	January 5, 2009	Jason Mesnick	Melissa Rycroft	Molly Malaney	Yes
14	January 4, 2010	Jake Pavelka	Vienna Girardi	Tenley Molzahn	Yes
15	January 3, 2011	Brad Womack	Emily Maynard	Chantal O'Brien	Yes
16	January 2, 2012	Ben Flajnik	Courtney Robertson	Lindzi Cox	Yes
17	January 7, 2013	Sean Lowe	Catherine Giudici	Lindsay Yenter	Yes
18	January 5, 2014	Juan Pablo Galavis	TBA	TBA	TBA
