#	Title	Author	Doctor	Featuring companion	Published	ISBN	Audiobook narrator
1	The Clockwise Man	Justin Richards	9th	Rose Tyler	19 May 2005	ISBN 0-563-48628-7	Nicholas Briggs
2	The Monsters Inside	Stephen Cole	9th	Rose Tyler	19 May 2005	ISBN 0-563-48629-5	Camille Coduri
3	Winner Takes All	Jacqueline Rayner	9th	Rose Tyler & Mickey Smith	19 May 2005	ISBN 0-563-48627-9	Camille Coduri
4	The Deviant Strain	Justin Richards	9th	Rose Tyler & Captain Jack Harkness	8 September 2005	ISBN 0-563-48637-6	Stuart Milligan
5	Only Human	Gareth Roberts	9th	Rose Tyler & Captain Jack Harkness	8 September 2005	ISBN 0-563-48639-2	Anthony Head
6	The Stealers of Dreams	Steve Lyons	9th	Rose Tyler & Captain Jack Harkness	8 September 2005	ISBN 0-563-48638-4	Camille Coduri
7	The Stone Rose	Jacqueline Rayner	10th	Rose Tyler & Mickey Smith	13 April 2006	ISBN 0-563-48643-0	David Tennant
8	The Feast of the Drowned	Stephen Cole	10th	Rose Tyler & Mickey Smith	13 April 2006	ISBN 0-563-48644-9	David Tennant
9	The Resurrection Casket	Justin Richards	10th	Rose Tyler	13 April 2006	ISBN 0-563-48642-2	David Tennant
10	The Nightmare of Black Island	Mike Tucker	10th	Rose Tyler	21 September 2006	ISBN 0-563-48650-3	Anthony Head
11	The Art of Destruction	Stephen Cole	10th	Rose Tyler	21 September 2006	ISBN 0-563-48651-1	Don Warrington
12	The Price of Paradise	Colin Brake	10th	Rose Tyler	21 September 2006	ISBN 0-563-48652-X	Shaun Dingwall
13	Sting of the Zygons	Stephen Cole	10th	Martha Jones	19 April 2007	ISBN 1-84607-225-5	Reggie Yates
14	The Last Dodo	Jacqueline Rayner	10th	Martha Jones	19 April 2007	ISBN 1-84607-224-7	Freema Agyeman
15	Wooden Heart	Martin Day	10th	Martha Jones	19 April 2007	ISBN 1-84607-226-3	Adjoa Andoh
16	Forever Autumn	Mark Morris	10th	Martha Jones	6 September 2007	ISBN 1-84607-270-0	Will Thorp
17	Sick Building	Paul Magrs	10th	Martha Jones	6 September 2007	ISBN 1-84607-269-7	Will Thorp
18	Wetworld	Mark Michalowski	10th	Martha Jones	6 September 2007	ISBN 1-84607-271-9	Freema Agyeman
19	Wishing Well	Trevor Baxendale	10th	Martha Jones	27 December 2007	ISBN 1-84607-348-0	Debbie Chazen
20	The Pirate Loop	Simon Guerrier	10th	Martha Jones	27 December 2007	ISBN 1-84607-347-2	Freema Agyeman
21	Peacemaker	James Swallow	10th	Martha Jones	27 December 2007	ISBN 1-84607-349-9	Will Thorp
22	Martha in the Mirror	Justin Richards	10th	Martha Jones	1 May 2008	ISBN 1-84607-420-7	Freema Agyeman
23	Snowglobe 7	Mike Tucker	10th	Martha Jones	1 May 2008	ISBN 1-84607-421-5	Georgia Moffett
24	The Many Hands	Dale Smith	10th	Martha Jones	1 May 2008	ISBN 1-84607-422-3	David Troughton
25	Ghosts of India	Mark Morris	10th	Donna Noble	4 September 2008	ISBN 1-84607-559-9	David Troughton
26	The Doctor Trap	Simon Messingham	10th	Donna Noble	4 September 2008	ISBN 1-84607-558-0	Russell Tovey
27	Shining Darkness	Mark Michalowski	10th	Donna Noble	4 September 2008	ISBN 1-84607-557-2	Debbie Chazen
28	The Story of Martha	Dan Abnett	10th	Martha Jones	26 December 2008	ISBN 1-84607-561-0	Freema Agyeman
29	Beautiful Chaos	Gary Russell	10th	Donna Noble & Wilfred Mott	26 December 2008	ISBN 1-84607-563-7	Bernard Cribbins
30	The Eyeless	Lance Parkin	10th	None	26 December 2008	ISBN 1-84607-562-9	Russell Tovey
31	Judgement of the Judoon	Colin Brake	10th	Nikki Jupiter	2 April 2009	ISBN 1-84607-639-0	Nicholas Briggs
32	The Slitheen Excursion	Simon Guerrier	10th	June Walsh	2 April 2009	ISBN 1-84607-640-4	Debbie Chazen
33	Prisoner of the Daleks	Trevor Baxendale	10th	Jon Bowman	2 April 2009	ISBN 1-84607-641-2	Nicholas Briggs
34	The Taking of Chelsea 426	David Llewellyn	10th	Jake & Vienna Carstairs	17 September 2009	ISBN 1-84607-758-3	Christopher Ryan
35	Autonomy	Daniel Blythe	10th	Kate Maguire	17 September 2009	ISBN 1-84607-759-1	Georgia Moffett
36	The Krillitane Storm	Christopher Cooper	10th	Emily Parr	17 September 2009	ISBN 1-84607-761-3	Will Thorp
37	Apollo 23	Justin Richards	11th	Amy Pond	22 April 2010	ISBN 1-84607-200-X	James Albrecht
38	Night of the Humans	David Llewellyn	11th	Amy Pond	22 April 2010	ISBN 1-84607-969-1	Arthur Darvill
39	The Forgotten Army	Brian Minchin	11th	Amy Pond	22 April 2010	ISBN 1-84607-987-X	Olivia Colman
40	Nuclear Time	Oli Smith	11th	Amy Pond & Rory Williams	8 July 2010	ISBN 1-84607-989-6	Nicholas Briggs
