Nat.	Name	Since	Goals	Ends	Transfer fee
ESP	V. Valdés ( VC )	2002	0	2010	Youth system
URU	M. Cáceres	2008	0	2012	€16.5M
ESP	Piqué	2008	0	2012	Youth system
MEX	Márquez	2003	8	2010	€5M
ESP	Puyol ( captain )	1999	4	2010	Youth system
ESP	Xavi ( VC )	1998	28	2014	Youth system
ISL	Gudjohnsen	2006	13	2010	€12M
ESP	A. Iniesta ( VC )	2002	17	2014	Youth system
CMR	Eto'o	2004	108	2010	€24M
ARG	Messi	2004	54	2014	Youth system
ESP	Bojan	2007	12	2013	Youth system
ESP	Pinto	2008	0	2010	€0.5M
FRA	Henry	2007	31	2011	€24M
MLI	Keita	2008	0	2012	€14M
BRA	Sylvinho	2004	3	2009	€2M
ARG	Milito	2007	1	2011	€17M
BRA	Dani Alves	2008	0	2012	€29M
BLR	Hleb	2008	0	2012	€15M
FRA	Abidal	2007	0	2011	€15M
CIV	Touré Yaya	2007	2	2012	€9M
ESP	Jorquera	2003	0	2010	Youth system
ESP	Pedro	2008	0	Undisclosed	Youth system
ESP	Sergio B.	2008	0	2013	Youth system
ESP	V. Sánchez	2008	0	Undisclosed	Youth system
