Position	Number	Name	Height	Weight	Class	Hometown	Games↑
QB	5	Mike Hartline	6'6"	'205	So.	Canton, Ohio	5
TB	28	Tony Dixon	'5'9"	203	Sr.	Parrish, Alabama	5
FB	38	John Conner	5'11"	230	Jr.	West Chester, Ohio	5
WR	12	Dicky Lyons	5'11"	190	Sr.	New Orleans, Louisiana	5
WR	17	EJ Adams	6'0"	197	Jr.	Stone Mountain, Georgia	3
TE	80	T.C. Drake	6'6"'	242	Jr.	Bardstown, Kentucky	4
LT	79	Garry Williams	6'3"	300	Sr.	Louisville, Kentucky	3
LG	72	Zipp Duncan	6'5"	295	Jr.	Magnolia, Kentucky	5
C	61	Jorge González	6'3"	303	Jr.	Tampa Bay, Florida	5
RG	73	Jess Beets	6'2"	293	Sr.	Dove Canyon, California	5
RT	72	Brad Durham	6'4"	310	So.	Mount Vernon, Kentucky	1
