Items	2008 - Q1	2008-Q2	2008-Q3	extrapol. 08	year 2007
Total movements	3.892	3.927	nyk	15.638	15.249
movements, NATIONAL	2.397	2.691	nyk	10.176	9.615
movements, INTERNATIONAL	807	826	nyk	3.266	3.354
OTHER movements	668	410	nyk	2.156	2.280
TOTAL passengers	124.624	117.349	nyk	483.946	513.948
- departing NAT	23.365	23.581	nyk	93.892	94.947
- departing INT	21.212	18.567	nyk	79.558	66.215
- arrivals NAT	23.110	23.547	nyk	93.314	93.382
- arrivals INT	21.207	18.417	nyk	79.248	69.497
- Transit	35.730	33.237	nyk	137.934	187.907
Freight (ton)	114	73	nyk	374	376
