Name	Height	Weight	Spike	2008 club
Natalya Zhukova Category:Articles with hCards	m ()	kg (lb)	cm (in)	Iller Bankasi
Tatyana Pyurova Category:Articles with hCards	m ()	kg (lb)	cm (in)	Zhetyssu
Olga Karpova Category:Articles with hCards	m ()	kg (lb)	cm (in)	Rahat
Yuliya Kutsko Category:Articles with hCards	m ()	kg (lb)	cm (in)	Rahat
Olga Nassedkina Category:Articles with hCards	m ()	kg (lb)	cm (in)	Rahat
Korrina Ishimtseva Category:Articles with hCards	m ()	kg (lb)	cm (in)	Rahat
Xeniya Ilyuchshenko Category:Articles with hCards	m ()	kg (lb)	cm (in)	Iller Bankasi
Yelena Ezau Category:Articles with hCards	m ()	kg (lb)	cm (in)	Rahat
Olga Grushko Category:Articles with hCards	m ()	kg (lb)	cm (in)	Marmaris
Irina Zaitseva Category:Articles with hCards	m ()	kg (lb)	cm (in)	Rahat
Yelena Pavlova Category:Articles with hCards	m ()	kg (lb)	cm (in)	Hisamitsu Springs
Inna Matveyeva Category:Articles with hCards	m ()	kg (lb)	cm (in)	Rahat
