Date	Opponent	Score	Loss	Save
April 9	Pirates	2 - 1	Rhoden (0-1)	Smith (1)
April 11	Pirates	4 - 1	DeLeón (0-1)	|| 10,049 ||2-0||
April 12	Expos	5 - 1	Eckersley (0-1)	|| 14,337 ||2-1||
April 13	Expos	8 - 3	Rogers (0-2)	|| 32,212 ||3-1||
April 14	Expos	4 - 2	Palmer (0-1)	|| 31,512 ||4-1||
April 15	Phillies	2 - 1	K. Gross (0-1)	Smith (2)
April 16	Phillies	1 - 0 10	Holland (0-1)	|| 11,937 ||6-1||
April 17	Phillies	5 - 4	K. Gross (0-2)	Smith (3)
April 19	@ Expos	5 - 3	Sutcliffe (2-1)	Reardon (2)
April 20	@ Expos	4 - 0	Trout (2-1)	Reardon (3)
April 21	@ Expos	4 - 0	Palmer (0-2)	|| 13,506 ||8-3||
April 22	@ Pirates	5 - 3	Ruthven (0-1)	Candelaria (3)
April 23	@ Pirates	5 - 0	Bielecki (1-1)	|| 9,387 ||9-4||
April 24	@ Pirates	5 - 2	Rhoden (0-3)	Smith (4)
April 26	@ Phillies	7 - 3	Koosman (0-1)	|| 27,187 ||11-4||
April 27	@ Phillies	6 - 1	Sanderson (1-1)	|| 25,220 ||11-5||
April 28	@ Phillies	3 - 2	Sutcliffe (3-2)	Andersen (2)
April 30	Giants	3 - 1	Laskey (0-3)	Smith (5)
