Position	Player	County team	Club team(s)	Team Number
Goalkeeper	Tony Reddin	Tipperary (1947–1957)	Mullagh Lorrha	1
Right corner-back	John Doyle	Tipperary (1949–1967)	Holycross-Ballycahill	2
Full-back	Nick O'Donnell	Wexford (1951–1962)	Enniscorthy St Aidans GAA	3
Left corner-back	Bobby Rackard	Wexford (1945–1957)	Rathnure	4
Right wing-back	Paddy Phelan	Kilkenny (1931–1940)	Tullaroan	5
Centre-back	John Keane	Waterford (1935–1951)	Mount Sion	6
Left wing-back	Brian Whelahan	Offaly (1989–2006)	Birr	7
Midfield	Jack Lynch	Cork (1936–1950)	Glen Rovers	8
Midfield	Lory Meagher	Kilkenny (1924–1936)	Tullaroan	9
Right wing-forward	Christy Ring	Cork (1939–1962)	Glen Rovers	10
Centre-forward	Mick Mackey	Limerick (1930–1946)	Ahane	11
Left wing-forward	Jim Langton	Kilkenny (1939–1950)	Éire Óg	12
Left corner-forward	Eddie Keher	Kilkenny (1959–1977)	Rower-Inistioge	13
Full-forward	Ray Cummins	Cork (1969–1982)	Blackrock	14
Right corner-forward	Jimmy Doyle	Tipperary (1957–1973)	Thurles Sarsfields	15
