Week	Date	Opponent	Result	Record	Game Site	TV Time	Attendance
1	September 3, 2000	at Kansas City Chiefs	W 27–14	1–0	Arrowhead Stadium	CBS 1:00pm	78,357
2	September 10, 2000	Oakland Raiders	L 31–38	1–1	RCA Dome	CBS 1:00pm	56,769
3	Bye	Bye	Bye	Bye	Bye	Bye	Bye
4	September 25, 2000	Jacksonville Jaguars	W 43–14	2–1	RCA Dome	ABC 9:00pm	56,816
5	October 1, 2000	at Buffalo Bills	W 18–16	3–1	Ralph Wilson Stadium	CBS 1:00pm	72,617
6	October 8, 2000	at New England Patriots	L 16–24	3–2	Foxboro Stadium	CBS 1:00pm	60,292
7	October 15, 2000	at Seattle Seahawks	W 37–24	4–2	Husky Stadium	CBS 4:15pm	63,593
8	October 22, 2000	New England Patriots	W 30–23	5–2	RCA Dome	CBS 1:00pm	56,828
9	October 29, 2000	Detroit Lions	W 30–18	6–2	RCA Dome	FOX 1:00pm	56,971
10	November 5, 2000	at Chicago Bears	L 24–27	6–3	Soldier Field	CBS 1:00pm	66,944
11	November 12, 2000	New York Jets	W 23–15	7–3	RCA Dome	CBS 1:00pm	56,657
12	November 19, 2000	at Green Bay Packers	L 24–26	7–4	Lambeau Field	CBS 1:00pm	59,869
13	November 26, 2000	Miami Dolphins	L 14–17	7–5	RCA Dome	CBS 4:15pm	56,935
14	December 3, 2000	at New York Jets	L 17–27	7–6	The Meadowlands	CBS 4:15pm	78,138
15	December 11, 2000	Buffalo Bills	W 44–20	8–6	RCA Dome	ABC 9:00pm	56,671
16	December 17, 2000	at Miami Dolphins	W 20–13	9–6	Pro Player Stadium	CBS 4:05pm	73,884
17	December 24, 2000	Minnesota Vikings	W 31–10	10–6	RCA Dome	FOX 4:15pm	56,672
