Appearances	Team	Wins	Losses	Win %
34	Montreal Canadiens	24	9	.706
24	Detroit Red Wings	11	13	.458
21	Toronto Maple Leafs	13	8	.619
19	Boston Bruins	6	13	.316
12	Chicago Blackhawks	5	7	.416
10	New York Rangers	4	6	.400
8	Philadelphia Flyers	2	6	.250
7	Edmonton Oilers	5	2	.714
5	New York Islanders	4	1	.800
5	New Jersey Devils	3	2	.600
4	Pittsburgh Penguins	3	1	.750
4	Dallas Stars	1	3	.250
3	Calgary Flames	1	2	.333
3	St. Louis Blues	0	3	.000
3	Vancouver Canucks	0	3	.000
2	Colorado Avalanche	2	0	1.000
2	Anaheim Ducks	1	1	.500
2	Carolina Hurricanes	1	1	.500
2	Los Angeles Kings	1	1	.500
2	Buffalo Sabres	0	2	.000
1	Tampa Bay Lightning	1	0	1.000
1	Florida Panthers	0	1	.000
1	Ottawa Senators	0	1	.000
1	Washington Capitals	0	1	.000
