Driver	Constructor	Laps	Time/Retired	Grid
Mika Häkkinen	McLaren - Mercedes	78	1:51:23.595	1
Giancarlo Fisichella	Benetton - Playlife	78	+11.475	3
Eddie Irvine	Ferrari	78	+41.378	7
Mika Salo	Arrows	78	+1:00.363	8
Jacques Villeneuve	Williams - Mecachrome	77	+1 Lap	13
Pedro Diniz	Arrows	77	+1 Lap	12
Johnny Herbert	Sauber - Petronas	77	+1 Lap	9
Damon Hill	Jordan - Mugen-Honda	76	+2 Laps	15
Shinji Nakano	Minardi - Ford	76	+2 Laps	19
Michael Schumacher	Ferrari	76	+2 Laps	4
Toranosuke Takagi	Tyrrell - Ford	76	+2 Laps	20
Jean Alesi	Sauber - Petronas	72	Gearbox	11
Jarno Trulli	Prost - Peugeot	56	Gearbox	10
Olivier Panis	Prost - Peugeot	49	Wheel	18
Ralf Schumacher	Jordan - Mugen-Honda	44	Suspension	16
Alexander Wurz	Benetton - Playlife	42	Spun off	6
Jan Magnussen	Stewart - Ford	30	Suspension	17
David Coulthard	McLaren - Mercedes	17	Engine	2
Rubens Barrichello	Stewart - Ford	11	Suspension	14
Heinz-Harald Frentzen	Williams - Mecachrome	9	Collision	5
Esteban Tuero	Minardi - Ford	0	Spun off	21
Riccardo Rosset	Tyrrell - Ford	0	Did Not Qualify	DNQ
