Time	Home team	Score	Away team	Venue
15:00	Derico	0 - 3	Citizen Team A	Mong Kok Stadium
15:30	Tuen Mun Progoal Team A	1 - 1; 7 - 8 ( PSO )	Mutual Team A	Mong Kok Stadium
16:00	South China Team A	1 - 4	Convoy Sun Hei Team A	Mong Kok Stadium
16:30	TSW Pegasus Team A	0 - 5	NTR WF Tai Po Team A	Mong Kok Stadium
17:00	Eastern Team A	2 - 0	Shatin	Mong Kok Stadium
17:30	South China Team B	0 - 3	Fourway Team B	Mong Kok Stadium
18:00	Citizen Team B	0 - 1	Convoy Sun Hei Team B	Mong Kok Stadium
18:30	TSW Pegasus Team B	0 - 1	Happy Valley Team B	Mong Kok Stadium
19:00	HKSSF	0 - 4	Mutual Team B	Mong Kok Stadium
19:30	Tuen Mun Progoal Team B	0 - 1	Kitchee Team B	Mong Kok Stadium
