Match	Date	Home/Away	Opponent team	Score
1	February 22, 2008	Away (LIVE)	Albirex Niigata (S)	1–3
2	February 26, 2008	Home	Geylang United	3–1
3	February 29, 2008	Home (LIVE)	Sengkang Punggol	3–0
4	March 6, 2008	Away	Dalian Shide Siwu	1–6
5	March 14, 2008	Away	Tampines Rovers	1–2
6	March 29, 2008	Home	Woodlands Wellington	3–0
7	April 6, 2008	Away	Balestier Khalsa	0–2
8	April 10, 2008	Home	Young Lions	4–0
9	April 13, 2008	Away	Super Reds	3–2
10	April 21, 2008	Home	Home United	2–2
11	April 25, 2008	Away (LIVE)	Gombak United	2–2
12	May 4, 2008	Away	Geylang United	2–3
13	May 20, 2008	Away	Albirex Niigata (S)	3–1
14	May 24, 2008	Away	Sengkang Punggol	0–1
