Name	Years	A-League	Finals	Total	Games per goal
Archie Thompson	2005/06 -	61 (149)	8 (11)	70 (170)	2.43
Danny Allsopp	2005/06 - 2009	39 (110)	3 (7)	46 (128)	2.72
Carlos Hernández	2007/08 - 2011/12	33 (114)	3 (9)	38 (134)	3.53
Kevin Muscat	2005/06 - 2010/2011	28 (113)	0 (9)	34 (138)	4.00
Robbie Kruse	2009/10 - 2010/2011	15 (36)	1 (3)	16 (47)	2.88
Marco Rojas	2011/12 - 2012/13	14 (49)	0 (2)	14 (51)	3.64
Mark Milligan	2011/12 -	9 (30)	1 (2)	10 (32)	3.20
Tom Pondeljak	2008/09 - 2011/2012	7 (72)	1 (6)	9 (86)	9.56
Rodrigo Vargas	2006/07 - 2011/2012	7 (129)	0 (10)	9 (153)	17.00
Harry Kewell	2011/2012	8 (24)	0 (0)	8 (24)	3.00
Mate Dugandzic	2009/2010 - 2010/2011	7 (36)	0 (1)	8 (40)	4.88
